id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,158.173.99.159,43,0.5048235278849442,10,4,2,4
2,22.59.170.225,28,0.3997547698338848,10,3,4,4
3,152.110.243.118,0,0.6383992868005012,8,4,1,4
4,119.106.87.64,5,0.45054533362333316,6,2,3,4
5,168.176.216.208,14,0.6094868330123073,1,3,4,1
6,55.30.79.150,19,0.565996580136339,10,5,4,5
7,221.85.7.142,46,0.42876952048644656,10,1,2,1
8,177.50.47.108,48,0.44348200453388,6,4,1,1
9,38.135.180.127,13,0.828424591071422,4,4,4,1
10,213.54.240.246,43,0.6921028380209255,8,5,5,5
11,143.44.184.79,16,0.9496321323840032,8,0,5,2
12,57.138.103.100,26,0.3693310432689215,9,4,5,3
13,199.65.26.85,46,0.3952252290351055,9,4,5,4
14,32.153.101.17,7,0.6277904830194646,10,2,2,3
15,93.252.163.246,50,0.92492821626126,2,5,3,3
16,186.133.43.76,7,0.19221682951795555,8,1,3,5
17,63.230.2.178,31,0.7438689907287273,9,3,5,1
18,93.195.121.171,41,0.3659508167958946,4,3,3,3
19,15.230.105.86,46,0.6309994942019755,9,1,5,4
20,53.225.232.32,19,0.28409396288413213,8,0,1,4
21,247.113.53.234,8,0.16620838913699493,2,0,4,3
22,50.224.152.106,17,0.1202847463048673,10,0,2,2
23,49.77.240.203,3,0.6101227171060316,6,0,2,1
24,203.23.241.84,30,0.7138276447633951,4,3,1,1
25,149.253.49.162,15,0.19428197979491216,3,4,5,3
26,161.200.85.3,38,0.3000412402461087,1,0,2,3
27,102.33.68.98,23,0.9265642082566131,3,4,4,5
28,127.22.74.213,46,0.26319101377498444,6,5,5,5
29,235.52.42.48,0,0.2904914388578445,2,1,3,1
30,252.193.141.16,23,0.21990777390938893,8,3,2,3
31,44.81.236.140,7,0.982853604121625,4,1,1,3
32,133.197.11.83,33,0.4030306464077813,7,3,1,1
33,133.157.122.37,19,0.9787949282409437,1,3,3,2
34,54.230.27.141,6,0.7561859403438713,10,5,3,3
35,194.112.147.244,49,0.7638463133741773,6,2,3,3
36,179.58.75.185,47,0.2296400163278041,6,3,3,3
37,24.5.246.153,10,0.9584039952542885,4,2,2,1
38,139.123.20.147,21,0.17799816582257597,5,5,4,3
39,2.175.2.82,15,0.18299162841006392,2,4,1,5
40,208.48.199.93,14,0.9998424492350239,2,0,3,2
41,213.69.160.77,36,0.6348898320912362,4,4,1,2
42,225.223.89.72,10,0.2919689667076079,10,3,4,5
43,197.216.210.61,16,0.6998758103945583,7,1,4,1
44,94.251.63.27,36,0.2628503762115025,8,1,5,4
45,237.210.122.101,8,0.3367784899632285,3,0,2,2
46,21.39.5.125,5,0.7020263086813041,3,4,1,5
47,82.31.58.177,34,0.4040980822901544,3,4,5,2
48,217.233.185.147,48,0.5482408707779195,3,4,1,2
49,239.39.111.138,23,0.7702998022948152,4,2,3,2
50,151.110.214.238,48,0.7441240521114492,7,0,4,4
51,116.232.34.98,21,0.957657785620171,7,1,4,3
52,150.53.124.140,44,0.7125913602203541,2,5,5,4
53,64.157.102.30,27,0.40289914532269,4,5,2,2
54,88.46.10.21,7,0.8961665451465152,5,0,5,4
55,184.74.85.206,4,0.9288165118771307,5,5,5,4
56,84.245.136.62,47,0.49891361582705707,6,0,2,1
57,106.136.220.141,43,0.32022917871522383,2,4,4,5
58,71.42.242.24,0,0.5340987122457707,5,3,3,5
59,90.255.214.163,16,0.2920087527551452,4,1,4,3
60,124.51.235.145,38,0.7365312102837444,7,2,3,5
61,192.107.59.112,34,0.8935776865308821,6,0,5,5
62,71.116.103.254,32,0.639074857789866,2,4,4,3
63,243.17.152.173,10,0.27009497062566296,9,0,5,1
64,54.110.5.119,39,0.9241506652614079,7,2,3,1
65,6.246.247.254,3,0.295220872170758,5,4,3,4
66,254.72.9.229,26,0.7668365774298521,6,0,3,1
67,157.144.21.212,43,0.6886324089350168,2,2,3,1
68,102.25.6.161,24,0.3078687601879588,7,5,2,4
69,165.237.177.192,10,0.8034095154679738,9,4,1,3
70,22.88.229.136,34,0.4269600643266387,2,2,5,5
71,167.24.244.104,15,0.7175405792115302,4,1,3,4
72,93.199.217.30,24,0.6493803451127612,9,3,1,4
73,61.61.15.173,13,0.6059759226077794,4,0,3,2
74,148.30.47.23,31,0.2755300975908018,1,1,1,2
75,200.92.219.127,28,0.18316604622367516,9,4,1,2
76,255.40.224.198,45,0.7152588697449765,2,3,5,3
77,7.27.42.162,15,0.32747820127423155,8,2,1,1
78,28.132.15.74,26,0.29671092976086366,7,4,5,5
79,53.224.67.12,17,0.7379462042903975,3,2,5,1
80,117.194.106.6,25,0.6057429006935269,10,5,5,1
