id,normal,abnormal,unknown
158.173.99.159,1,0,0
22.59.170.225,1,0,0
152.110.243.118,1,0,0
119.106.87.64,1,0,0
168.176.216.208,1,0,0
55.30.79.150,1,0,0
221.85.7.142,1,0,0
177.50.47.108,1,0,0
38.135.180.127,1,0,0
213.54.240.246,1,0,0
143.44.184.79,1,0,0
57.138.103.100,1,0,0
199.65.26.85,1,0,0
32.153.101.17,1,0,0
93.252.163.246,1,0,0
186.133.43.76,1,0,0
63.230.2.178,1,0,0
93.195.121.171,1,0,0
15.230.105.86,1,0,0
53.225.232.32,1,0,0
247.113.53.234,1,0,0
50.224.152.106,1,0,0
49.77.240.203,1,0,0
203.23.241.84,1,0,0
149.253.49.162,1,0,0
161.200.85.3,1,0,0
102.33.68.98,1,0,0
127.22.74.213,1,0,0
235.52.42.48,1,0,0
252.193.141.16,1,0,0
44.81.236.140,0,0,1
133.197.11.83,1,0,0
133.157.122.37,1,0,0
54.230.27.141,1,0,0
194.112.147.244,1,0,0
179.58.75.185,1,0,0
24.5.246.153,1,0,0
139.123.20.147,1,0,0
2.175.2.82,1,0,0
208.48.199.93,0,0,1
213.69.160.77,1,0,0
225.223.89.72,1,0,0
197.216.210.61,1,0,0
94.251.63.27,1,0,0
237.210.122.101,1,0,0
21.39.5.125,1,0,0
82.31.58.177,1,0,0
217.233.185.147,1,0,0
239.39.111.138,1,0,0
151.110.214.238,1,0,0
116.232.34.98,1,0,0
150.53.124.140,1,0,0
64.157.102.30,1,0,0
88.46.10.21,1,0,0
184.74.85.206,1,0,0
84.245.136.62,1,0,0
106.136.220.141,1,0,0
71.42.242.24,1,0,0
90.255.214.163,1,0,0
124.51.235.145,1,0,0
192.107.59.112,1,0,0
71.116.103.254,1,0,0
243.17.152.173,1,0,0
54.110.5.119,1,0,0
6.246.247.254,1,0,0
254.72.9.229,1,0,0
157.144.21.212,1,0,0
102.25.6.161,1,0,0
165.237.177.192,1,0,0
22.88.229.136,1,0,0
167.24.244.104,1,0,0
93.199.217.30,1,0,0
61.61.15.173,1,0,0
148.30.47.23,1,0,0
200.92.219.127,1,0,0
255.40.224.198,1,0,0
7.27.42.162,1,0,0
28.132.15.74,1,0,0
53.224.67.12,1,0,0
117.194.106.6,1,0,0
80.141.241.1,1,0,0
185.219.50.108,1,0,0
92.247.243.91,1,0,0
128.5.133.193,1,0,0
167.2.20.53,1,0,0
107.155.89.206,1,0,0
135.2.10.14,1,0,0
38.182.126.224,1,0,0
52.119.171.150,1,0,0
18.235.62.187,1,0,0
99.241.119.81,1,0,0
163.74.78.170,1,0,0
19.67.151.76,1,0,0
186.33.242.240,1,0,0
123.1.95.245,1,0,0
71.166.207.136,1,0,0
75.80.216.34,1,0,0
45.22.196.15,1,0,0
191.3.172.142,0,0,1
174.140.115.26,1,0,0
