id,normal,abnormal,unknown
67.39.190.5,1,0,0
167.30.97.242,1,0,0
48.4.209.224,1,0,0
165.33.109.54,1,0,0
124.77.242.194,1,0,0
187.32.82.34,1,0,0
132.199.4.75,1,0,0
111.47.47.81,1,0,0
41.125.226.40,1,0,0
11.187.254.149,1,0,0
194.53.180.71,1,0,0
246.226.82.145,1,0,0
37.53.198.161,1,0,0
233.206.193.61,1,0,0
77.119.144.5,0,0,1
184.236.211.81,1,0,0
163.207.80.40,1,0,0
99.4.136.159,1,0,0
88.123.126.255,1,0,0
2.52.163.200,1,0,0
191.59.179.214,1,0,0
140.50.35.204,1,0,0
64.131.29.218,1,0,0
126.93.238.50,1,0,0
157.60.6.174,1,0,0
115.107.238.129,1,0,0
152.14.110.167,1,0,0
31.234.160.82,1,0,0
94.44.127.229,1,0,0
173.126.208.133,1,0,0
84.209.45.198,1,0,0
201.189.251.133,1,0,0
164.25.23.236,1,0,0
166.219.78.20,1,0,0
162.64.71.66,1,0,0
238.10.76.98,1,0,0
86.98.21.187,1,0,0
60.67.198.252,1,0,0
68.253.238.113,1,0,0
253.200.231.32,1,0,0
4.207.108.168,1,0,0
84.76.38.51,1,0,0
124.170.189.104,1,0,0
115.37.60.216,1,0,0
32.220.134.107,1,0,0
208.38.47.78,1,0,0
109.186.113.247,1,0,0
127.100.15.114,1,0,0
238.2.237.209,1,0,0
221.132.6.85,1,0,0
102.244.178.230,1,0,0
22.25.65.211,1,0,0
247.162.25.121,1,0,0
69.32.129.236,1,0,0
101.6.29.69,1,0,0
36.173.21.49,1,0,0
242.224.55.156,1,0,0
203.100.5.67,1,0,0
242.126.93.179,1,0,0
81.230.222.56,1,0,0
190.177.202.53,1,0,0
3.86.111.215,1,0,0
74.45.118.231,1,0,0
216.61.121.26,1,0,0
126.37.86.24,1,0,0
172.243.237.150,1,0,0
136.240.123.34,1,0,0
129.14.248.211,1,0,0
213.93.128.34,1,0,0
71.109.242.196,1,0,0
178.217.46.209,1,0,0
189.86.200.219,1,0,0
191.225.63.217,1,0,0
69.91.186.80,1,0,0
200.140.192.210,0,1,0
190.246.154.101,1,0,0
181.67.56.101,1,0,0
109.228.41.194,1,0,0
132.203.195.8,1,0,0
79.67.179.1,1,0,0
237.133.132.132,1,0,0
123.150.32.33,1,0,0
123.184.220.254,1,0,0
98.144.208.151,1,0,0
248.227.4.196,1,0,0
254.65.212.7,1,0,0
181.141.4.25,1,0,0
29.156.216.30,1,0,0
137.247.71.72,1,0,0
54.140.24.63,1,0,0
75.111.129.17,1,0,0
177.55.57.10,1,0,0
112.159.203.137,1,0,0
198.65.191.13,1,0,0
77.113.201.181,1,0,0
246.110.173.249,1,0,0
234.162.28.92,1,0,0
213.69.107.155,1,0,0
180.28.104.153,0,0,1
62.208.239.33,1,0,0
