id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,255.99.86.52,13,0.8567848177957239,7,2,2,27
2,89.133.148.183,12,0.24133418863895573,10,0,5,18
3,73.148.58.113,41,0.43112861701787053,9,2,4,1
4,137.94.53.34,50,0.8752895934440011,3,3,4,29
5,239.87.21.121,25,0.5174705779071178,2,3,3,7
6,221.233.43.192,7,0.9580285074718223,10,3,3,21
7,144.86.223.161,39,0.30501756144752895,10,2,1,11
8,153.147.43.73,12,0.8110332447779574,6,2,5,5
9,235.135.87.53,41,0.2998031205492744,6,0,1,2
10,166.118.240.33,4,0.1728992960885859,6,5,1,19
11,178.103.25.44,22,0.2741264148189453,9,4,2,3
12,115.148.76.195,42,0.6777174793956732,8,5,3,15
13,120.71.230.24,19,0.40087672685374354,7,4,3,8
14,1.101.25.197,35,0.3836069805469513,10,4,2,24
15,238.74.27.110,1,0.6646611726393947,9,4,1,7
16,141.12.86.43,42,0.9071555038921388,10,2,4,3
17,98.141.212.163,42,0.3066592292530067,2,2,3,18
18,184.250.101.22,9,0.7073436775298607,10,2,3,5
19,190.58.109.143,13,0.9917135875721145,6,2,4,11
20,92.119.99.200,8,0.11005242082409368,6,5,5,26
21,146.55.37.11,36,0.18354718892811472,5,2,1,24
22,192.21.132.170,30,0.6343133666300426,3,4,2,27
23,190.154.17.94,44,0.5573075126860075,2,4,1,24
24,38.56.146.212,45,2.585444106550624,10,8,0,27
25,220.104.170.221,5,0.3955843991691115,1,5,4,25
26,240.74.77.159,6,0.4084557810467295,5,1,1,26
27,55.162.174.252,46,0.38090513058442654,1,5,3,28
28,126.236.249.110,41,0.9187595914585494,6,4,3,7
29,109.86.24.211,41,0.629977139387053,6,2,1,15
30,122.16.178.34,13,0.17434734661676934,7,4,3,18
31,29.164.7.37,33,0.3482780234254435,5,0,4,11
32,174.88.82.168,18,0.11442912857238305,5,1,4,7
33,186.50.117.182,18,0.2174280814122052,4,1,5,18
34,108.92.139.145,22,0.25843832432403263,9,1,1,15
35,156.247.170.4,48,0.5075904761948787,3,5,4,20
36,59.111.104.95,38,0.49707645660292554,10,0,3,17
37,52.111.150.54,9,0.9652976531557397,1,0,3,2
38,158.27.12.133,5,0.25840464776481753,1,0,3,25
39,243.66.151.12,12,0.25146730655510663,8,5,2,3
40,183.164.100.195,27,0.5023857474963519,4,1,5,26
41,134.55.83.208,9,0.6269129515027206,2,1,1,11
42,251.255.153.234,16,0.9504094923988237,8,1,2,29
43,172.91.49.178,43,0.3590322315797181,5,5,3,27
44,194.98.98.40,3,0.865813760631922,6,5,3,1
45,210.211.116.24,4,0.930013422589711,9,3,5,18
46,219.61.189.85,3,0.3192030946259115,7,0,3,15
47,147.120.154.160,1,0.1941761305354617,6,5,4,29
48,123.79.2.218,50,0.4270206887391278,7,2,3,20
49,4.31.33.52,47,0.6081101554026814,6,0,2,17
50,204.201.81.155,33,0.8157819093435892,6,3,4,4
51,13.87.123.38,25,0.421357424286545,8,5,2,19
52,212.233.64.192,40,0.1430994050886512,7,0,4,21
53,3.67.154.134,0,0.5385661892161625,6,0,5,16
54,170.39.59.118,21,0.8246964453621374,3,1,3,29
55,145.79.12.247,49,0.47807027422647974,4,0,1,11
56,94.186.92.141,31,0.8175073313570661,7,0,5,17
57,250.158.34.155,26,0.4491824391907001,3,4,2,25
58,3.236.107.162,9,0.6600123321405033,3,4,2,1
59,123.147.85.132,39,0.7956188115000653,6,2,2,19
