id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,5.22,27.600865684189067,18.58894250571779,0.522,14.100000000000001,18,18,0
2,proxy2,3.08,13.339642004269258,13.3806845707991,0.308,12.2,11,11,0
3,proxy3,2.62,28.32791502793695,21.360057177578874,0.262,13.0,12,12,0
4,proxy4,77.49697139751817,26.95880694924779,62.033913508011,68.55453432518594,60.347617718490156,14,14,1
5,proxy5,9.030000000000001,12.91656096015976,36.567996952211224,0.5030000000000001,29.56842823599567,120,20,1
6,proxy6,1.9700000000000002,28.27575484277564,18.850137203226875,0.197,11.6,8,8,0
7,proxy7,4.879999999999999,19.103560098549302,19.007550329357763,0.4880000000000001,16.6,19,19,0
8,proxy8,3.9699999999999998,11.226159929195916,27.274868821869706,0.39699999999999996,12.8,15,15,0
9,proxy9,4.050000000000001,18.101921928484636,11.038242806781001,0.405,14.600000000000001,17,17,0
10,proxy10,2.73,18.87017548280975,21.627684545738074,0.273,15.100000000000001,13,13,0
11,proxy11,55.79361635785408,22.979475063687286,62.10642229757222,76.97510917578514,60.70796365694281,13,13,1
12,proxy12,4.82,15.882979652003536,26.167119989934886,0.48200000000000004,15.100000000000001,18,18,0
13,proxy13,5.67,28.995545596887204,44.16306968262267,0.3570000000000001,40.20025136613711,117,17,1
14,proxy14,64.46149978245653,20.008873169552107,100,68.84860527526946,84.20905129652667,213,13,1
15,proxy15,79.17396702228676,25.876690106620302,60.088627490572264,68.08325293547999,63.99405392696935,14,14,1
16,proxy16,3.6,14.24228536331419,24.490505551653722,0.36000000000000004,14.0,14,14,0
17,proxy17,14.989999999999995,22.950160049516022,27.35504738357607,1.4989999999999994,13.9,14,14,1
18,proxy18,4.11,28.265895093207813,20.55902602494934,0.4110000000000001,15.100000000000001,20,20,0
19,proxy19,4.470000000000001,21.072287745495245,15.120374143333335,0.447,14.8,18,18,0
20,proxy20,2.9299999999999997,12.674422762994245,29.69296316665645,0.29300000000000004,13.3,12,12,0
