id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,108.112.126.36,42,0.34383116318953144,2,0,3,5
2,84.149.57.246,2,0.17435468449956193,1,1,3,4
3,113.193.38.23,24,0.19590185029971052,3,5,1,9
4,239.129.128.142,0,0.6859860766716095,6,4,3,1
5,12.117.14.254,27,0.8828007534813139,7,1,5,10
6,48.96.97.187,23,0.5688660814933917,6,1,5,9
7,56.10.217.152,41,0.851409513577368,3,0,5,3
8,134.225.247.3,5,0.4157652801074756,4,5,3,3
9,134.11.198.5,39,0.893800079006762,6,1,2,10
10,122.13.226.150,0,0.20525029213284599,1,4,5,7
11,169.227.255.50,10,0.20842765052314094,4,1,3,6
12,189.26.124.164,25,0.8975196335829118,10,5,2,9
13,151.252.160.59,4,0.4941328796241127,7,4,2,2
14,34.98.27.27,4,0.271060518251771,2,0,2,9
15,61.197.68.85,36,0.4976376271735131,9,2,3,6
16,14.2.173.232,17,0.5944444696759745,6,1,5,8
17,122.147.194.101,46,0.17820563603069345,2,3,3,6
18,66.17.42.52,30,0.28183359376071987,4,5,2,8
19,119.116.244.249,48,0.7146943549713354,4,3,4,9
20,99.135.146.130,23,0.1247180226189182,7,2,4,7
21,57.11.242.117,35,0.16185499677626927,5,3,3,8
22,50.173.38.157,50,0.8532997621062193,4,2,4,3
23,95.200.170.109,10,0.5809503728125909,5,3,2,1
24,253.179.255.170,37,0.45460797064711056,6,3,3,2
25,220.47.136.93,27,0.6058570961660357,3,3,4,7
26,19.95.224.194,25,0.46842141386208536,7,1,1,6
27,182.205.250.140,44,0.9698789738222898,4,2,1,1
28,136.66.34.207,50,0.1253202199514078,10,3,5,2
29,198.234.141.96,37,0.3563692109228216,4,3,1,5
30,158.131.155.45,0,0.8368769159159034,5,3,1,4
31,57.35.163.55,25,0.3396180267242628,6,5,3,10
32,206.32.233.1,36,0.8885403856123436,2,0,3,2
33,226.100.102.10,19,0.2862482205612171,7,3,4,3
34,175.114.142.10,43,0.11555939448751387,6,3,3,1
35,81.34.135.49,1018,1.3430764440838616,54,0,26,4
36,2.33.193.38,44,0.2820985578247893,1,1,5,2
37,248.27.171.232,32,0.6407133509899643,9,3,2,7
38,117.54.106.190,16,0.41699886595262825,4,3,4,10
39,11.116.13.35,11,0.36950949542052336,3,0,5,1
40,176.46.75.25,2,0.4822177811640924,4,4,4,9
41,181.107.167.203,26,0.20905235772355946,3,0,3,5
42,38.57.173.11,24,0.3592701498822324,8,2,1,1
43,55.56.71.197,11,0.8586670067434574,3,4,2,10
44,76.108.66.177,17,0.9451302846210601,2,1,2,1
45,81.234.180.247,21,0.8319928542587155,4,4,5,1
46,203.53.91.230,4,0.7425474800230656,7,5,5,8
47,247.207.19.59,35,0.9546313618716613,7,3,1,3
48,35.10.228.200,18,0.31914567295835183,7,0,1,10
49,89.3.41.204,1,0.6786311707250441,6,2,2,5
50,6.20.93.27,21,0.36928023595673687,5,4,5,9
51,102.127.57.209,8,0.13454460560420628,7,1,5,8
52,12.149.153.125,12,0.4047320214698259,9,3,4,5
53,21.206.33.115,38,0.7504034954451271,7,4,4,6
54,18.207.53.218,17,0.9781686727553,6,0,5,5
55,151.162.252.221,48,0.13681720327683167,5,0,3,4
56,138.39.142.117,32,0.8980679115826969,4,4,2,1
57,26.245.59.86,4,0.22893371036791185,4,1,2,5
58,140.252.9.64,43,0.3302767548248834,3,4,4,6
59,7.168.118.120,27,0.8690640346463105,6,0,2,4
60,6.112.94.71,44,0.4907339893499335,4,5,5,5
61,175.29.138.86,12,0.8546963557899525,6,4,1,7
62,34.200.109.229,38,0.21768368531969506,3,2,2,10
63,222.113.106.14,19,0.5726249991949214,3,1,3,10
64,83.83.85.110,5,0.6218438905450344,7,1,1,4
65,45.104.30.21,28,0.6676965652176476,2,3,5,7
66,131.18.68.30,39,0.7938157259211266,5,3,1,9
67,104.178.141.193,0,0.33546964642776816,3,3,2,10
68,250.182.39.254,7,0.28995696834076434,2,5,1,3
69,48.25.95.228,17,0.7242396003645265,7,5,4,10
70,191.2.12.254,42,0.5153268010980472,3,2,4,6
71,231.215.216.115,34,0.18449369573592225,1,1,1,1
72,84.132.79.179,17,0.9355007137003267,3,2,4,4
73,115.117.93.151,35,0.24979547401652677,3,2,5,3
74,207.105.118.116,13,0.9709154638975457,2,0,1,3
75,10.142.39.67,36,0.1213133275520738,6,1,1,5
76,227.38.200.200,6,0.13424148936659575,7,0,2,6
77,31.165.93.54,22,0.8620777670236257,7,1,3,9
78,243.242.87.251,21,0.619769678918805,4,1,5,8
79,110.57.59.139,43,0.9211945826105189,7,4,3,1
80,73.16.5.203,34,0.5630797925682215,2,4,3,4
81,175.50.244.96,9,0.22481389417197978,1,2,3,5
82,204.227.229.172,0,0.4704826670384047,6,5,5,6
83,202.12.167.251,18,0.2452519794839477,10,0,3,8
84,249.84.12.21,10,0.804460217933857,3,3,1,7
85,45.5.46.122,12,0.40281964542072646,10,4,3,5
86,213.107.24.91,38,0.28905326145666393,5,0,4,6
87,175.208.15.9,9,0.6597820109482775,5,4,2,6
88,44.51.44.218,17,0.3246703187143436,10,0,4,1
89,179.175.104.212,17,0.7999687205021753,4,3,4,7
90,247.110.121.118,45,0.5233452173702403,9,0,3,5
91,86.76.206.242,5,0.15217339596976986,3,0,3,8
92,50.139.17.45,15,0.13595475071004376,2,5,5,2
93,53.4.65.24,50,0.2579800032914578,10,1,2,1
94,64.65.209.106,42,0.4047973804449969,4,3,4,10
95,49.36.167.24,19,0.7199297202543566,6,0,4,6
