id,normal,abnormal,unknown
108.112.126.36,1,0,0
84.149.57.246,1,0,0
113.193.38.23,1,0,0
239.129.128.142,1,0,0
12.117.14.254,1,0,0
48.96.97.187,1,0,0
56.10.217.152,1,0,0
134.225.247.3,1,0,0
134.11.198.5,1,0,0
122.13.226.150,1,0,0
169.227.255.50,1,0,0
189.26.124.164,1,0,0
151.252.160.59,1,0,0
34.98.27.27,1,0,0
61.197.68.85,1,0,0
14.2.173.232,1,0,0
122.147.194.101,1,0,0
66.17.42.52,1,0,0
119.116.244.249,1,0,0
99.135.146.130,1,0,0
57.11.242.117,1,0,0
50.173.38.157,1,0,0
95.200.170.109,1,0,0
253.179.255.170,1,0,0
220.47.136.93,1,0,0
19.95.224.194,1,0,0
182.205.250.140,1,0,0
136.66.34.207,1,0,0
198.234.141.96,1,0,0
158.131.155.45,1,0,0
57.35.163.55,1,0,0
206.32.233.1,1,0,0
226.100.102.10,1,0,0
175.114.142.10,1,0,0
81.34.135.49,0,1,0
2.33.193.38,1,0,0
248.27.171.232,1,0,0
117.54.106.190,1,0,0
11.116.13.35,1,0,0
176.46.75.25,1,0,0
181.107.167.203,1,0,0
38.57.173.11,1,0,0
55.56.71.197,1,0,0
76.108.66.177,1,0,0
81.234.180.247,1,0,0
203.53.91.230,1,0,0
247.207.19.59,1,0,0
35.10.228.200,1,0,0
89.3.41.204,1,0,0
6.20.93.27,1,0,0
102.127.57.209,1,0,0
12.149.153.125,1,0,0
21.206.33.115,1,0,0
18.207.53.218,1,0,0
151.162.252.221,1,0,0
138.39.142.117,1,0,0
26.245.59.86,1,0,0
140.252.9.64,1,0,0
7.168.118.120,1,0,0
6.112.94.71,1,0,0
175.29.138.86,1,0,0
34.200.109.229,1,0,0
222.113.106.14,1,0,0
83.83.85.110,1,0,0
45.104.30.21,1,0,0
131.18.68.30,1,0,0
104.178.141.193,1,0,0
250.182.39.254,1,0,0
48.25.95.228,1,0,0
191.2.12.254,1,0,0
231.215.216.115,1,0,0
84.132.79.179,1,0,0
115.117.93.151,1,0,0
207.105.118.116,1,0,0
10.142.39.67,1,0,0
227.38.200.200,1,0,0
31.165.93.54,1,0,0
243.242.87.251,1,0,0
110.57.59.139,1,0,0
73.16.5.203,1,0,0
175.50.244.96,1,0,0
204.227.229.172,1,0,0
202.12.167.251,1,0,0
249.84.12.21,1,0,0
45.5.46.122,1,0,0
213.107.24.91,1,0,0
175.208.15.9,1,0,0
44.51.44.218,1,0,0
179.175.104.212,1,0,0
247.110.121.118,1,0,0
86.76.206.242,1,0,0
50.139.17.45,1,0,0
53.4.65.24,1,0,0
64.65.209.106,1,0,0
49.36.167.24,1,0,0
198.178.130.243,1,0,0
89.13.187.159,1,0,0
168.6.254.65,1,0,0
28.14.234.249,1,0,0
203.69.139.1,1,0,0
