id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,1.45,25.15581974156076,14.235572014169755,0.145,11.8,6,6,0
2,proxy2,24.769999999999996,11.264701224977964,12.812688579287569,2.477,13.9,17,17,1
3,proxy3,1.6300000000000001,29.81665563328179,11.32776598956994,0.163,11.1,5,5,0
4,proxy4,2.61,13.146227920976619,16.14663031656582,0.26099999999999995,11.9,10,10,0
5,proxy5,1.43,26.924299411515992,29.262408877722606,0.143,12.5,8,8,0
6,proxy6,1.02,10.763132796053721,20.778089537698907,0.10200000000000001,12.1,5,5,0
7,proxy7,1.33,13.802835107756891,20.726573421441334,0.133,11.5,4,4,0
8,proxy8,0.8,15.49143497036271,14.484462292886118,0.08,11.1,4,4,0
9,proxy9,1.1300000000000001,12.644128527257726,29.074639976406754,0.11300000000000002,10.7,5,5,0
10,proxy10,2.59,23.376626794798263,20.199028700774164,0.259,12.6,9,9,0
11,proxy11,0.6200000000000001,24.739105400386045,11.417387819167221,0.062,10.9,3,3,0
12,proxy12,14.229999999999999,25.795309781691692,17.496794124181736,1.423,10.7,4,4,1
13,proxy13,0.25,11.973947995671153,17.258331280454485,0.025,10.4,1,1,0
14,proxy14,2.26,18.35898621825387,22.51869374217341,0.226,12.4,9,9,0
15,proxy15,0.8400000000000001,17.59367506208256,17.129041198687457,0.084,10.6,4,4,0
16,proxy16,20.46,24.140810251036196,19.92496117471736,2.046,11.2,9,9,1
17,proxy17,1.07,16.313460007642476,12.256954535753128,0.10700000000000001,11.1,5,5,0
18,proxy18,1.12,22.380568364110466,17.724436567393823,0.112,11.5,6,6,0
19,proxy19,11.13,13.398146397423584,26.539470058126934,1.113,10.4,5,5,1
20,proxy20,2.7800000000000007,12.596338998016174,27.669924421354292,0.278,11.8,10,10,0
21,proxy21,2.04,19.009411242481693,19.568782791809788,0.20400000000000001,12.4,9,9,0
22,proxy22,2.0500000000000003,17.786281012882384,29.251336571119545,0.20500000000000004,12.3,9,9,0
23,proxy23,3.0300000000000002,22.67395398655243,26.935001892186044,0.30300000000000005,13.1,10,10,0
24,proxy24,2.08,15.992393256220016,23.4482180869277,0.20800000000000002,11.6,9,9,0
25,proxy25,2.52,27.253891761246397,18.92171174458087,0.252,12.0,8,8,0
26,proxy26,1.47,13.924494150003554,17.987364361957393,0.14700000000000002,11.0,4,4,0
27,proxy27,0.9700000000000001,11.042763742237037,28.49873177512847,0.097,10.9,4,4,0
28,proxy28,1.09,23.921406210292954,21.40969083576,0.10900000000000001,11.0,5,5,0
29,proxy29,1.52,15.320445775421039,19.450393414475567,0.15200000000000002,11.2,5,5,0
30,proxy30,2.64,16.097813183452743,21.82179499200317,0.264,12.2,8,8,0
