id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,248.29.10.110,5,0.3441636118583909,8,0,1,4
2,192.242.46.143,28,2.4719871461600746,3,3,0,5
3,105.253.93.79,23,0.20936666109090588,3,0,5,15
4,25.240.161.139,6,0.7396931307223087,9,1,3,11
5,53.143.206.100,10,0.43677579429512514,9,1,5,1
6,241.186.201.161,46,0.2538497286880922,7,3,4,3
7,105.61.200.113,8,0.8526133988083646,7,5,4,13
8,241.223.149.240,20,0.960218477071493,1,4,1,17
9,5.247.48.100,14,0.49996908687958863,10,1,3,18
10,82.34.52.162,4,0.5271417046515352,4,3,5,6
11,71.113.235.61,6,0.12488945560101071,10,2,3,7
12,227.120.143.1,41,0.7664378200471986,5,1,5,3
13,143.80.133.87,39,0.6040758447528185,5,5,5,6
14,62.29.135.231,30,0.23997628138989455,3,5,5,24
15,117.164.193.61,35,0.9272264156715658,6,1,5,11
16,76.186.100.78,1,0.9192518481085642,5,2,2,1
17,1.168.41.112,6,0.7152364792301711,2,5,4,22
18,89.174.133.78,36,0.354617507348561,3,1,4,3
19,76.200.31.232,40,0.6864821372629585,4,2,4,14
20,141.157.43.92,25,0.5464103150735597,6,1,3,11
21,182.188.208.234,50,0.809524023154969,4,0,4,24
22,195.212.199.141,40,0.17431685377108547,9,1,2,3
23,112.50.136.109,26,0.7518620212918355,9,1,2,9
24,152.24.6.92,25,0.9934155731686218,5,0,1,19
25,126.237.147.34,0,0.5089320146813278,6,1,3,18
26,79.115.135.159,49,0.6011051385340264,10,5,3,22
27,77.242.179.6,24,0.1832024278438053,4,0,1,23
28,234.108.207.87,31,0.610786119893595,9,0,3,3
29,249.169.76.81,10,0.22514074299416068,2,1,2,20
30,246.233.94.211,23,0.5520182608961172,4,1,5,20
31,129.204.151.139,1,0.4775120893298349,9,5,2,12
32,158.147.168.181,25,0.6142139253185532,3,4,3,5
33,196.96.150.117,43,0.842657912443275,1,5,3,8
34,6.89.102.29,39,0.9987981185317715,10,5,3,3
35,254.252.212.204,21,0.7723775552884253,4,4,5,5
