id,normal,abnormal,unknown
28.206.134.113,1,0,0
206.142.190.252,1,0,0
113.244.254.226,1,0,0
228.115.184.3,1,0,0
171.125.109.106,1,0,0
33.104.247.138,1,0,0
129.153.5.76,1,0,0
47.215.113.82,1,0,0
94.221.242.189,1,0,0
154.201.78.87,1,0,0
129.49.207.193,1,0,0
147.85.225.123,1,0,0
17.246.56.114,1,0,0
44.139.169.157,1,0,0
207.217.118.25,1,0,0
63.178.46.163,1,0,0
216.219.66.11,1,0,0
213.10.22.149,1,0,0
105.234.238.9,1,0,0
153.247.88.27,0,1,0
107.138.105.83,1,0,0
2.163.122.124,1,0,0
145.123.191.73,1,0,0
250.118.59.16,1,0,0
255.123.159.169,1,0,0
81.185.185.37,1,0,0
146.155.100.234,1,0,0
51.80.236.39,1,0,0
253.183.34.131,1,0,0
241.42.186.245,1,0,0
176.142.235.172,1,0,0
130.129.156.113,1,0,0
213.150.146.70,1,0,0
166.53.196.120,1,0,0
2.219.222.102,1,0,0
23.90.213.119,1,0,0
255.165.12.6,1,0,0
158.86.220.123,1,0,0
84.254.78.16,1,0,0
176.200.108.189,1,0,0
3.240.182.75,0,1,0
113.26.206.130,1,0,0
234.62.253.255,0,1,0
161.176.45.160,1,0,0
216.166.241.136,1,0,0
36.48.182.192,0,1,0
68.128.217.109,1,0,0
109.136.193.3,1,0,0
158.230.228.180,1,0,0
239.30.196.193,0,1,0
206.160.218.11,1,0,0
9.69.43.38,1,0,0
213.237.217.220,1,0,0
159.162.241.89,1,0,0
202.153.242.221,1,0,0
234.151.24.178,1,0,0
78.44.91.192,1,0,0
144.117.55.95,1,0,0
16.83.106.153,1,0,0
177.43.255.254,1,0,0
132.72.106.64,1,0,0
249.54.99.68,1,0,0
246.65.162.28,1,0,0
150.127.14.10,1,0,0
184.34.212.200,1,0,0
19.167.77.20,1,0,0
67.255.210.181,1,0,0
152.84.216.123,1,0,0
243.98.233.4,1,0,0
149.61.6.73,1,0,0
232.65.94.30,1,0,0
66.168.103.108,1,0,0
2.245.160.125,1,0,0
76.71.118.190,1,0,0
145.115.86.19,1,0,0
146.49.203.172,1,0,0
186.115.18.43,1,0,0
150.42.112.111,1,0,0
114.69.34.114,1,0,0
84.9.180.95,1,0,0
243.196.62.131,1,0,0
93.243.118.233,1,0,0
135.176.67.27,1,0,0
189.87.140.67,1,0,0
182.205.184.134,1,0,0
99.175.204.193,0,1,0
146.144.192.58,1,0,0
85.39.215.235,1,0,0
41.218.91.127,1,0,0
115.73.144.13,1,0,0
175.195.254.122,1,0,0
30.113.71.243,1,0,0
91.205.90.45,1,0,0
182.107.84.73,1,0,0
81.215.28.249,1,0,0
46.238.195.38,1,0,0
139.164.12.230,1,0,0
245.63.151.210,1,0,0
43.104.191.120,1,0,0
94.193.137.20,1,0,0
162.42.244.211,1,0,0
218.194.65.168,1,0,0
204.53.56.252,1,0,0
116.207.180.251,1,0,0
131.192.255.192,1,0,0
221.71.220.206,1,0,0
240.134.209.245,1,0,0
27.94.154.95,1,0,0
10.216.102.144,1,0,0
134.247.129.114,1,0,0
225.73.232.18,1,0,0
149.56.143.31,1,0,0
67.14.8.3,1,0,0
126.24.255.153,1,0,0
237.56.26.163,1,0,0
215.103.97.211,1,0,0
159.184.81.216,1,0,0
7.181.166.132,1,0,0
154.21.177.34,1,0,0
229.241.183.54,1,0,0
185.186.254.113,1,0,0
90.146.180.188,0,1,0
159.241.204.144,1,0,0
66.16.180.39,1,0,0
152.165.102.105,1,0,0
112.65.30.253,1,0,0
145.120.60.225,1,0,0
15.24.52.171,1,0,0
125.117.99.41,1,0,0
150.165.20.119,1,0,0
104.81.186.133,1,0,0
5.202.202.206,1,0,0
239.8.63.238,1,0,0
204.195.141.157,1,0,0
117.2.168.217,1,0,0
159.17.59.231,1,0,0
34.118.65.115,1,0,0
116.72.193.142,1,0,0
95.238.38.53,1,0,0
189.106.181.35,1,0,0
77.141.129.134,1,0,0
123.240.17.234,1,0,0
255.14.3.120,1,0,0
232.33.154.202,1,0,0
183.146.100.239,1,0,0
117.120.3.199,1,0,0
11.50.101.172,1,0,0
223.71.163.132,1,0,0
107.25.196.112,1,0,0
23.170.66.92,1,0,0
124.178.62.168,1,0,0
238.224.72.83,1,0,0
24.163.64.50,1,0,0
156.94.73.246,1,0,0
176.249.64.123,1,0,0
91.175.63.68,1,0,0
95.66.207.180,1,0,0
18.15.232.95,1,0,0
124.53.29.193,1,0,0
146.251.157.119,1,0,0
201.172.54.244,1,0,0
11.187.223.177,0,1,0
15.188.249.99,1,0,0
51.219.245.19,1,0,0
132.71.55.28,0,1,0
115.242.124.223,1,0,0
153.110.202.16,1,0,0
17.30.93.83,1,0,0
242.38.200.54,1,0,0
79.81.174.12,1,0,0
25.30.202.207,1,0,0
77.227.51.55,1,0,0
224.135.212.88,1,0,0
39.98.92.34,1,0,0
246.157.140.176,1,0,0
161.156.61.77,1,0,0
142.101.4.238,1,0,0
130.181.58.110,1,0,0
233.149.163.124,1,0,0
17.176.241.170,1,0,0
14.205.189.107,1,0,0
57.50.191.37,1,0,0
31.30.174.6,1,0,0
78.155.97.221,1,0,0
196.183.216.143,1,0,0
232.128.212.221,1,0,0
51.142.232.211,1,0,0
154.11.204.27,1,0,0
71.47.132.179,1,0,0
191.255.32.65,1,0,0
151.168.242.205,1,0,0
156.130.182.89,1,0,0
244.143.39.152,1,0,0
175.173.246.188,1,0,0
252.217.187.145,1,0,0
52.207.32.215,1,0,0
13.99.215.39,1,0,0
178.176.135.238,1,0,0
250.255.131.37,1,0,0
126.105.147.54,1,0,0
