id,normal,abnormal,unknown
50.74.13.150,1,0,0
9.111.29.218,1,0,0
142.24.64.11,1,0,0
130.213.142.166,1,0,0
109.124.88.250,1,0,0
62.139.91.188,1,0,0
217.22.117.126,1,0,0
103.142.253.137,1,0,0
192.65.145.159,1,0,0
151.191.48.80,1,0,0
20.173.128.49,1,0,0
234.150.170.101,1,0,0
153.100.11.66,1,0,0
15.99.231.83,1,0,0
102.168.122.193,1,0,0
136.125.94.28,1,0,0
185.139.152.231,1,0,0
104.178.244.123,1,0,0
184.69.130.79,1,0,0
68.212.160.22,1,0,0
30.220.156.207,1,0,0
6.141.106.89,1,0,0
46.112.105.98,1,0,0
48.202.86.42,1,0,0
155.71.244.88,1,0,0
245.231.220.100,1,0,0
61.153.137.215,1,0,0
129.7.32.225,1,0,0
137.207.90.194,1,0,0
101.163.52.107,1,0,0
194.118.243.81,1,0,0
62.23.166.106,1,0,0
121.206.201.129,1,0,0
158.30.248.244,1,0,0
218.35.192.23,1,0,0
229.75.89.4,1,0,0
34.206.181.123,1,0,0
237.102.241.76,1,0,0
115.114.116.3,1,0,0
202.66.192.178,1,0,0
252.141.27.156,1,0,0
123.127.24.18,1,0,0
4.230.215.19,1,0,0
193.99.169.39,1,0,0
247.199.127.165,1,0,0
61.117.197.110,1,0,0
180.10.152.48,1,0,0
177.189.173.231,1,0,0
15.172.73.158,1,0,0
114.222.252.35,1,0,0
68.232.144.56,1,0,0
71.100.159.237,1,0,0
46.208.22.109,1,0,0
144.104.180.26,0,0,1
124.36.215.64,1,0,0
163.124.56.3,1,0,0
192.194.7.205,1,0,0
206.8.169.107,1,0,0
204.130.31.79,1,0,0
220.125.131.28,1,0,0
208.27.239.117,1,0,0
96.3.6.14,1,0,0
241.46.22.255,1,0,0
32.173.226.124,1,0,0
235.112.247.90,1,0,0
235.95.16.94,1,0,0
230.91.131.230,1,0,0
103.214.217.254,1,0,0
10.67.34.210,1,0,0
241.114.104.134,1,0,0
15.89.239.225,0,0,1
187.242.69.144,1,0,0
102.42.211.201,1,0,0
82.7.255.81,1,0,0
245.187.241.244,1,0,0
120.182.76.73,1,0,0
147.212.29.116,1,0,0
73.162.86.249,1,0,0
113.47.62.195,1,0,0
221.245.25.147,1,0,0
212.129.253.191,1,0,0
