id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,146.8.183.54,2,0.4058843017112739,10,0,5,2
2,57.81.224.217,16,0.9990405687606891,9,3,3,4
3,21.116.217.252,38,0.6545968727013147,8,2,5,8
4,159.149.160.183,24,0.8564470933797117,3,1,4,8
5,137.129.150.224,2,0.5499494273341218,8,5,2,9
6,176.204.235.29,48,0.30015013069233715,7,5,4,3
7,76.28.64.125,49,0.9049723214499314,7,5,2,8
8,230.123.210.66,1,0.5653459516389189,8,1,2,3
9,204.189.72.137,23,0.5840978136169465,7,2,1,1
10,95.162.217.246,13,0.3370918789413103,10,3,2,5
11,98.200.41.238,8,0.26723820312120367,6,0,5,2
12,154.243.198.77,36,0.7777573284819085,9,2,1,2
13,177.199.27.178,10,0.2104322384045202,6,2,4,10
14,72.204.168.234,11,0.5829497028469397,1,1,5,10
15,147.188.182.123,43,0.208822037553609,8,5,4,10
16,74.69.59.150,15,0.8588882834052664,2,1,5,5
17,225.82.158.152,36,0.6634990417983191,5,3,4,10
18,69.38.138.116,39,0.6920290179841412,2,3,3,1
19,99.197.230.88,18,0.13057212707098928,5,5,4,4
20,218.23.113.190,18,0.19394271539739377,10,3,3,8
21,111.76.40.141,0,0.19536562567216534,6,5,4,7
22,41.135.186.195,39,0.876906197734812,8,0,5,6
23,157.196.192.159,3,0.42421244313451845,9,2,3,4
24,149.192.250.21,11,0.3411329999191249,5,5,2,9
25,104.75.35.191,43,0.4056083952983378,1,2,5,8
26,78.194.93.132,43,0.5680893950155529,10,5,2,6
27,7.86.183.54,1,0.6896916061154993,7,3,3,3
28,107.157.168.205,19,0.5151093972792272,6,1,1,1
29,220.53.244.181,12,0.7659281340979817,4,2,2,2
30,188.24.156.44,16,0.16353797010171922,9,4,3,7
31,61.205.64.65,13,0.5896256012158881,7,3,4,1
32,2.125.45.101,34,0.6424646234395693,3,5,1,6
33,2.191.2.215,19,0.6280526580606476,6,2,1,8
34,17.16.164.67,3,0.9135320501255662,3,3,2,8
35,178.216.221.113,39,0.9150440950589054,3,4,3,5
36,16.41.48.184,22,0.1195957351738206,10,3,2,9
37,75.253.61.41,13,0.3720079572128314,6,5,4,7
38,209.255.56.32,1,0.9292713584504867,1,3,1,7
39,128.167.166.192,42,0.31153686908815614,2,1,5,2
40,225.200.163.67,45,0.2700468009598191,3,5,1,3
41,193.173.83.192,1,0.8703527644888581,2,3,4,9
42,133.209.115.175,48,0.3770959813225947,2,2,3,2
43,218.40.227.146,42,0.42899726946299765,5,3,4,8
44,240.222.20.3,28,0.3378320528822713,8,0,4,8
45,188.156.100.105,45,0.7502807856091929,10,5,1,4
46,142.209.224.99,27,0.8577705166126778,10,3,3,10
47,44.194.129.167,11,0.7397369510861106,5,0,2,3
48,182.246.111.88,45,0.5075535300969822,9,2,2,2
49,108.222.228.204,18,0.7753456198233609,8,1,2,5
50,130.201.17.227,44,0.6927769598199934,5,2,2,4
51,141.133.57.190,30,0.8095033399818472,10,1,1,3
52,42.7.55.145,8,0.3195825560705308,4,3,3,8
53,75.8.83.43,6,0.4133269073070355,5,5,2,9
54,197.174.172.121,9,0.8840173226199973,2,2,3,3
55,205.69.203.84,38,0.3114008935539545,3,0,2,7
