id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,2.04,20.45919263232817,29.375703393159725,0.20400000000000001,12.4,11,11,0
2,proxy2,2.5199999999999996,14.60519415988629,17.221613539438582,0.252,12.9,10,10,0
3,proxy3,1.3699999999999999,20.05202629266201,11.686520848759116,0.137,11.2,8,8,0
4,proxy4,75.13917655598821,25.08123299619112,59.4298212633949,63.629456194482586,50.66563346213532,11,11,1
5,proxy5,2.48,28.958099761209333,19.745805798418456,0.24800000000000003,12.6,10,10,0
6,proxy6,2.68,17.688437413313267,19.69334574726953,0.268,12.700000000000001,10,10,0
7,proxy7,2.41,11.814678800387133,26.98844107238686,0.24100000000000002,12.2,10,10,0
8,proxy8,2.17,10.515146384699174,24.347056474186907,0.21699999999999997,12.8,10,10,0
9,proxy9,2.8400000000000003,21.321749171278924,21.71408283236812,0.28400000000000003,11.9,12,12,0
10,proxy10,1.54,26.867453430061254,20.612454342080255,0.154,11.5,8,8,0
