id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,70.70.72.230,42,0.6609534586864957,9,5,5,9
2,103.58.135.94,27,0.12669155040606253,2,2,2,8
3,161.248.249.239,16,0.7401212008026196,3,2,1,9
4,194.200.52.119,47,0.5922516809507619,4,2,8,10
5,242.41.126.150,42,0.7332057096317609,6,5,5,1
6,16.182.246.167,42,0.5650539349587319,9,5,1,4
7,164.164.253.176,1,0.45642823635487917,8,1,8,1
8,19.109.23.17,38,0.12190741338248098,8,3,1,5
9,148.36.11.41,1,0.27395681718330633,5,5,6,7
10,121.202.112.89,25,0.195213560229449,10,5,6,5
11,63.255.138.123,23,0.8679730788556175,1,4,7,1
12,202.217.177.204,0,0.4858390430048283,5,2,7,6
13,185.56.238.90,45,0.7217108832556861,5,0,8,9
14,152.43.51.235,18,0.8108846637628041,3,2,3,6
15,168.164.173.73,17,0.4720264858893084,5,5,7,3
16,24.102.248.235,49,0.5802137987360099,5,0,4,5
17,111.161.186.19,12,0.6257300778587869,5,0,8,9
18,156.144.117.130,36,0.8544725975706,2,4,8,10
19,12.150.114.169,26,0.6886441150197607,6,4,4,2
20,200.218.143.92,12,0.6232065581424989,1,2,6,7
21,243.233.191.189,42,0.3319403205040774,3,4,3,8
22,201.180.222.41,14,0.3906633525584242,3,2,3,9
23,60.131.166.158,13,0.3346476871907362,10,5,4,6
24,247.74.51.124,32,0.43345487780241954,7,0,6,9
25,148.234.175.13,15,0.3907724161937828,4,5,3,4
26,238.207.69.205,24,0.33034532648317055,3,1,1,4
27,134.150.24.213,6,0.8537299956268821,1,4,1,7
28,69.187.209.142,20,0.9977383172806271,1,0,2,8
29,152.166.134.59,1,0.23685814980318057,8,1,8,9
30,229.202.152.74,1,0.4690170186652276,4,0,1,9
31,212.157.221.189,11,0.4564516070413557,9,2,2,5
32,215.202.98.9,43,0.7681541850454607,2,3,7,7
33,245.39.144.253,36,0.6576757171447776,8,1,2,10
34,83.15.38.129,41,0.423812962038998,7,0,4,8
35,35.27.166.68,32,0.7840118436052069,1,4,6,8
36,45.56.163.188,28,0.48142164995744896,8,2,8,6
37,211.166.93.79,40,0.9225233907551715,4,4,6,8
38,170.206.124.47,20,0.7246239963480086,1,3,8,7
39,191.201.197.91,46,0.9683613831828857,7,3,1,6
40,3.251.157.11,1,0.36469014638399544,4,0,5,9
41,98.232.170.63,38,0.3565399210355903,10,5,3,5
42,187.32.246.30,1,0.5268649533864191,10,2,8,2
43,240.244.161.178,38,0.10955282207028548,5,3,1,4
44,177.219.91.163,0,0.9059570145742415,9,5,7,6
45,200.234.43.165,19,0.9481708554770758,9,4,3,4
46,184.25.73.204,1,0.2383154910765334,5,1,3,4
47,178.102.115.243,21,0.2236082325382525,6,0,3,10
48,163.138.67.69,1,0.8487966505025035,8,4,5,7
49,45.211.184.136,9,0.5214979837212844,8,5,1,1
50,54.95.113.121,36,0.5103094133347805,6,3,6,9
51,105.98.108.114,13,0.7989951487876167,1,2,1,3
52,197.54.70.208,29,0.6478902302385002,8,0,7,7
53,22.168.30.59,13,0.13016371370789614,6,4,8,9
54,159.54.243.228,50,0.8720670899797371,6,2,5,8
55,86.217.186.223,27,0.9093747116437719,9,4,4,1
56,31.28.108.2,1,0.4024127534222892,1,2,8,5
57,93.30.121.116,13,0.21686193757483385,2,5,1,8
58,117.132.237.67,14,0.6748485132997479,5,4,5,4
59,187.92.163.236,28,0.18147485587715462,3,0,4,6
60,184.137.147.119,49,0.6060540708210377,8,5,7,6
61,63.11.75.20,3,0.2801418843145093,3,0,6,4
62,198.21.140.239,3,0.9273080070978238,9,4,1,1
63,209.89.194.174,49,0.21512022599295932,5,5,6,7
64,253.44.14.209,2,0.8954278030563586,5,4,6,9
65,9.107.32.218,40,0.4433539376195794,4,0,6,5
66,215.97.74.24,25,0.7997739053048022,7,0,2,3
67,185.144.124.195,29,0.7903113999281488,7,4,3,4
68,225.116.243.30,26,0.904314713895588,8,2,7,3
69,207.183.187.176,45,0.8741580101567777,5,5,4,2
70,85.2.106.25,33,0.47070018882803577,2,4,3,7
71,183.236.224.139,39,0.1965466532818817,6,5,2,6
72,106.146.140.44,43,0.37524941343235296,8,4,2,8
73,38.100.4.88,46,0.27777443742971114,9,2,1,10
74,49.144.193.55,19,0.30112877997981713,2,5,4,4
75,239.252.67.186,38,0.470035777757144,6,5,2,5
76,17.137.181.84,18,0.15344170413281416,6,5,8,8
77,136.182.251.229,36,0.22150674152579222,5,2,6,8
78,2.28.67.180,41,0.3071932282451323,1,2,7,3
79,1.103.6.94,21,0.5770722289278774,8,5,1,2
80,41.240.196.244,35,0.5021700034673809,9,3,6,7
81,64.134.130.45,39,0.772278056755487,1,3,8,1
82,166.91.22.3,5,0.7095326346400894,3,0,3,2
83,23.125.190.94,32,0.5183533599487637,8,0,8,9
84,37.209.203.179,6,0.6039516179095394,10,5,2,4
85,196.218.171.20,31,0.573184894376235,6,0,6,2
86,182.137.128.4,15,0.3019662580324593,8,2,8,4
87,38.107.28.71,25,0.9995636085586458,7,3,7,2
88,31.195.206.114,33,0.932353870797853,10,5,6,9
89,238.218.201.19,6,0.803227899015668,6,5,6,10
90,22.185.202.37,38,0.24211156633897646,7,4,7,3
91,126.124.5.71,21,0.31767431511837185,5,0,1,1
92,192.218.176.253,15,0.8494157272373128,6,5,7,2
93,192.111.144.88,8,0.9625885784875912,3,2,8,4
94,54.112.143.165,21,0.9340735333394302,9,5,4,7
95,7.71.125.122,23,0.7624275886708495,8,3,7,9
96,39.79.195.46,24,0.49832123982881515,9,5,3,9
97,135.236.214.144,31,0.9791355877846614,10,5,5,6
98,103.206.114.9,11,0.44707656018280306,1,3,2,3
99,243.246.49.60,30,0.5649781075099861,10,2,5,6
100,255.132.107.167,19,0.6483909854595533,3,2,6,7
