id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,22.32,0.84,3.39,152.02,3.94,1.29,18,1
2,proxy2,0.99,1.34,1.1,0.99,1.0,1.0,14,0
3,proxy3,0.98,0.89,1.0,0.98,1.0,1.07,15,0
4,proxy4,1.09,0.69,0.79,1.09,1.0,1.14,16,0
5,proxy5,1.05,0.72,1.06,1.05,0.99,1.0,14,0
6,proxy6,17.14,0.71,2.73,184.71,5.56,0.36,5,1
7,proxy7,1.5,1.27,0.76,1.5,1.02,1.5,21,0
8,proxy8,1.0,1.19,0.75,1.0,0.99,0.93,13,0
9,proxy9,0.73,1.12,0.81,0.73,0.99,0.64,9,0
10,proxy10,1.19,1.2,0.87,1.19,1.02,1.21,17,0
11,proxy11,0.44,0.91,1.25,0.44,0.98,0.5,7,0
12,proxy12,1.05,0.9,0.91,1.05,1.0,1.07,15,0
13,proxy13,1.16,1.33,1.25,1.16,1.0,1.14,16,0
14,proxy14,0.66,0.91,1.32,0.66,0.99,0.64,9,0
15,proxy15,0.89,1.0,1.02,0.89,0.98,0.79,11,0
