id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,41.111.143.249,20,0.4366546018336922,4,2,4,65
2,204.14.109.158,24,0.7176413867545614,4,5,6,48
3,57.219.106.110,29,0.4488646101878484,8,5,3,24
4,30.6.24.230,39,0.6852614005826193,9,5,8,24
5,233.62.85.97,26,0.886836175980551,4,0,6,49
6,87.2.197.253,14,0.46923990894322265,7,0,3,6
7,120.216.246.196,30,0.45918730182584844,7,1,7,89
8,122.84.253.177,7,0.17577770094119843,7,1,1,45
9,154.12.215.146,48,0.5174714603608235,10,1,8,61
10,213.121.104.222,10,0.623858288440445,9,5,6,47
11,3.100.49.251,3,0.6922958502875042,10,3,5,11
12,41.62.23.191,47,0.46936481446941114,5,5,3,95
13,193.46.194.234,11,0.7531205821274247,7,4,6,29
14,173.251.12.65,8,0.5189866650652919,5,2,5,9
15,130.95.190.80,28,0.6529292170931303,10,5,1,66
16,81.204.56.69,0,0.9860220290727498,7,1,8,50
17,132.150.117.176,14,0.501851915968107,6,3,5,82
18,77.99.96.157,9,0.49364818680367184,10,2,8,58
19,126.24.40.157,31,0.780997362906906,9,1,5,17
20,176.2.45.136,13,0.251504204449216,8,2,1,82
21,231.236.218.103,27,0.7677031721743406,5,0,1,4
22,237.56.142.77,39,0.5656041719709505,2,4,2,60
23,9.72.26.191,4,0.13976362382298899,2,1,8,78
24,177.153.243.66,27,0.8441129890512402,3,1,4,81
25,134.210.1.125,42,0.23834749543753897,9,4,7,42
26,72.132.167.125,41,0.2070541315338913,7,1,1,78
27,187.205.42.219,49,0.9575081081007708,4,2,2,100
28,66.104.221.70,11,0.18707672003401643,9,3,5,77
29,58.42.6.138,16,0.5501507849273604,6,4,2,60
30,30.149.17.38,33,0.8930238722344759,8,3,2,94
31,28.30.57.48,8,0.8245944343741738,1,1,3,36
32,209.123.230.20,50,0.6306113554356625,2,4,5,46
33,93.2.109.38,4,0.4992833135995235,3,0,8,31
34,11.239.240.110,35,0.6277315082821456,9,0,7,6
35,94.153.18.2,30,0.47843277071439494,9,2,7,1
36,28.53.189.86,3,0.6974192023867388,10,5,5,57
37,108.191.85.206,42,0.6736745259191956,8,1,6,42
38,239.129.226.248,36,0.771735837120994,6,1,5,49
39,109.164.56.144,45,0.7854381789549593,4,0,1,85
40,128.94.18.67,34,0.9050529599894391,6,2,3,28
41,60.80.58.31,32,0.7667645531075183,2,5,1,57
42,240.28.10.175,0,0.9177952452490749,4,5,8,51
43,165.24.221.14,45,0.6833809075131342,7,4,4,9
44,85.100.125.190,32,0.8223384873263632,1,3,7,45
45,13.146.30.21,39,0.22903799992678112,6,2,5,79
46,141.247.22.199,27,0.6043905931601826,2,2,3,58
47,198.55.209.180,15,0.8761325105502492,3,2,4,22
48,131.148.93.139,37,0.25737022658977193,3,3,5,80
49,48.77.78.94,21,0.4147225355989216,9,0,8,94
50,203.41.227.118,2,0.8642443484272302,10,2,4,18
51,150.77.55.99,20,0.6807837541115385,8,1,2,62
52,239.212.163.223,49,0.14049620045984124,6,3,2,36
53,106.205.80.138,27,0.3811996412345656,1,2,7,58
54,70.67.177.35,30,0.3600119452804933,4,2,4,58
55,224.221.97.53,2,0.19218150792495278,3,2,1,74
56,27.196.176.23,7,0.6523024540376647,3,3,4,19
57,25.150.9.54,49,0.8937362204497029,10,5,3,47
58,184.216.211.134,1,0.5791398643104737,3,2,6,62
59,124.71.130.183,43,0.49888615097110367,1,3,7,35
60,52.198.142.248,34,0.3805932936103571,9,5,6,45
61,73.43.125.183,14,0.23206353007553884,4,1,6,52
62,195.50.243.50,45,0.5132801042722223,3,4,5,92
63,180.170.254.192,34,0.32797916825783413,3,2,8,64
64,110.41.62.12,25,0.8968647937669715,5,5,1,55
65,193.22.41.41,31,0.8824966894517083,6,5,3,7
66,13.233.78.225,23,0.6589408751519336,4,3,5,100
67,143.79.240.200,48,0.9064253646153787,9,1,6,72
68,231.190.74.223,19,0.19678896114532124,9,5,8,31
69,62.164.79.77,32,0.6678906135823759,9,4,1,98
70,39.97.144.109,19,0.8618488946530145,3,0,3,27
71,107.36.192.6,12,0.46394702081959505,7,1,1,4
72,180.211.237.171,0,0.6744875845193471,7,0,4,44
73,223.175.219.144,5,0.15600957070831023,8,1,3,16
74,84.89.78.236,27,0.8063967700254304,8,2,6,82
75,46.124.90.91,11,0.6580150884999134,5,5,4,81
76,33.176.216.155,12,0.8841083739501937,8,2,3,16
77,133.149.146.236,15,0.10326885699747612,9,3,2,5
78,139.130.89.32,14,0.7474690162393759,6,1,4,10
79,245.85.207.23,16,0.39823798163070956,9,2,3,10
80,135.224.148.249,15,0.11842613598726016,7,1,1,48
81,112.149.32.211,8,0.6359035809581423,8,5,8,72
82,147.250.155.252,18,0.14157951292482684,2,4,3,29
83,196.212.153.103,38,0.9857588724741235,4,0,1,86
84,254.63.11.212,14,0.43830616976407155,9,5,4,2
85,71.40.148.237,47,0.6040471409373019,5,2,5,99
86,125.216.122.228,5,0.8665998644763236,7,0,3,23
87,114.169.53.137,14,0.3383461573701591,1,2,5,83
88,12.23.216.113,34,0.5592473386675445,2,0,2,50
89,69.164.132.2,11,0.607511544003191,7,4,5,99
90,99.27.101.237,25,0.8668668999060699,7,2,7,84
91,141.232.48.140,40,0.99401985167073,6,5,5,84
92,97.101.208.76,37,0.8775196988592052,10,5,1,63
93,98.241.111.153,15,0.2033145535831456,9,4,7,81
94,11.6.103.176,9,0.5686030666843007,7,4,4,50
95,238.237.203.9,21,0.13004078842726013,8,3,2,67
96,153.100.228.104,31,0.5228343709781618,3,2,7,78
97,93.64.8.58,3,0.4215538680864712,4,2,3,45
98,44.255.215.215,20,0.779420615232649,10,0,5,100
99,153.108.209.22,24,0.7768774312059551,9,0,4,83
100,232.146.150.249,13,0.9100030405821612,6,5,5,33
101,118.29.227.215,46,0.5299805237902531,8,0,7,15
102,230.242.248.103,36,0.15262065152488904,4,4,6,89
103,188.121.74.156,35,0.9876296940314662,8,1,4,14
104,41.112.68.227,49,0.46176612563706376,9,2,3,96
105,93.175.76.96,15,0.2833523271845204,8,1,5,3
106,254.129.144.230,38,0.14295667118069327,10,1,3,79
107,131.47.169.197,46,0.7865841522217508,1,1,6,39
108,85.242.224.131,2,0.6966465062192698,10,5,6,56
109,223.44.78.160,46,0.7466169589533977,4,5,7,15
110,26.108.191.207,14,0.575374031200008,2,3,1,1
111,240.29.82.194,11,0.6250787106020613,6,3,3,95
112,71.125.82.187,13,0.5231856733281667,9,0,7,80
113,112.44.200.120,10,0.8661284788772318,5,4,7,38
114,73.252.116.223,47,0.8925423494900838,5,1,5,88
115,74.13.224.231,23,0.25242603261556623,7,4,6,72
116,175.252.3.23,47,0.9512685220536654,10,4,7,33
117,215.17.41.52,25,0.4160467518593962,10,5,4,31
118,198.148.223.232,21,0.31507823681002295,7,1,3,23
119,59.5.60.5,21,0.6551606902874683,2,5,3,22
120,209.181.10.117,4,0.7127383335873576,4,1,4,9
121,157.4.2.98,14,0.2618178594715904,2,0,3,88
122,162.44.242.29,22,0.276455596741801,6,4,8,75
123,67.19.108.245,17,0.20313510143893404,10,1,6,32
124,200.141.233.54,18,0.3639582032634301,1,0,6,61
125,255.148.7.60,26,0.4846950060449985,1,4,8,99
126,147.226.8.183,43,0.7686707075392655,3,4,3,37
127,245.117.224.65,42,0.8620812459463382,10,0,4,83
128,206.81.37.131,38,0.261956930974418,7,5,7,77
129,57.54.54.17,40,0.575378632253599,6,4,5,54
130,185.165.116.198,5,0.8111211926898843,9,2,4,91
131,243.33.171.28,22,0.7369240983618629,7,0,1,83
132,47.66.100.176,2,0.8597940087370346,3,0,2,61
133,167.100.249.248,1,0.9602323367924028,5,5,1,94
134,150.185.100.64,5,0.6324392560701524,6,4,3,40
135,118.71.11.26,7,0.9353926876072105,6,0,6,61
136,38.39.228.184,41,0.3115812116156855,7,2,4,5
137,245.112.149.141,38,0.3212453554237773,8,2,5,51
138,8.7.49.78,34,0.5475981728773125,9,1,6,57
139,236.168.203.138,46,0.8425333815878617,1,0,3,73
140,119.148.211.4,4,0.38871730382106595,3,3,3,23
141,110.12.180.125,39,0.965087570194185,7,1,2,31
142,108.111.49.82,18,0.6353103982016822,1,5,4,74
143,194.20.181.128,4,0.21569616322228946,2,4,7,81
144,58.151.168.254,35,0.6762573256758481,7,4,7,70
145,48.209.18.85,44,0.9524268435108205,5,2,1,43
146,119.140.22.165,24,0.14285160310456185,10,5,3,98
147,25.109.172.162,22,0.1331168351206244,2,3,2,58
148,203.157.81.112,37,0.9566390230666881,1,1,6,48
149,130.247.157.131,35,0.8475417773346822,1,3,7,4
150,152.203.53.73,26,0.5017274068105421,4,0,8,98
151,239.142.177.195,9,0.6054887439143709,10,3,8,15
152,28.115.130.15,13,0.2702164577916558,8,5,6,31
153,104.184.126.147,24,0.5268546420287404,7,1,5,3
154,177.6.175.215,35,0.6324434106516448,3,2,5,79
155,61.199.224.222,44,0.5123981262339979,3,4,1,26
156,245.24.154.209,23,0.5151508629030798,8,0,6,65
157,244.190.168.132,20,0.3421147993971787,8,2,2,38
158,231.45.210.165,50,0.5840792582434693,10,5,6,17
159,114.98.67.116,50,0.20905400522427542,6,3,2,36
160,166.20.116.245,20,0.8133436247781547,6,2,5,7
161,98.62.139.181,3,0.22371384099439184,3,5,7,35
162,113.1.196.199,43,0.4121049004048626,9,3,5,83
163,132.46.69.142,48,0.6932243317028008,6,2,3,48
164,10.3.185.183,38,0.17263105343575624,8,5,3,14
165,109.236.107.101,40,0.6587643796875357,4,4,7,57
166,177.231.61.165,50,0.12127347446925967,6,1,6,36
167,216.213.135.16,32,0.587532588277772,5,1,5,95
168,215.179.185.244,5,0.1725193159342916,6,2,4,13
169,234.118.124.172,31,0.23444447034951943,4,5,6,57
170,157.53.88.51,46,0.21191758819820972,6,0,5,27
171,144.208.57.1,22,0.303456262930238,4,3,7,35
172,154.98.113.188,6,0.9153481404492134,5,3,6,71
173,71.73.96.65,29,0.32809378386106686,5,2,3,41
174,117.241.45.93,5,0.3753849313303216,1,3,8,18
175,156.209.85.246,21,0.1072507670400696,1,1,7,1
176,42.112.21.156,26,0.475361733322613,10,3,7,95
