id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.62,1.25,0.73,0.63,1.0,0.86,6,0
2,proxy2,0.74,1.04,0.7,0.74,1.0,0.57,4,0
3,proxy3,1.01,0.88,1.04,1.02,1.01,1.29,9,0
4,proxy4,1.13,0.71,1.14,1.13,1.0,1.14,8,0
5,proxy5,39.83,1.13,3.5,334.98,4.29,0.86,6,1
6,proxy6,1.09,0.97,0.8,1.09,1.01,1.0,7,0
7,proxy7,1.5,0.98,1.12,1.51,1.01,1.29,9,0
8,proxy8,0.42,0.86,0.84,0.42,0.99,0.57,4,0
9,proxy9,9.63,0.98,1.06,9.69,1.0,0.86,6,1
10,proxy10,1.11,1.22,0.86,1.11,1.01,1.57,11,0
11,proxy11,0.94,0.77,0.82,0.95,1.0,1.14,8,0
12,proxy12,1.17,1.22,0.7,1.18,1.0,0.86,6,0
13,proxy13,1.0,1.04,0.93,1.01,1.0,1.14,8,0
14,proxy14,0.9,1.34,1.04,0.91,1.01,1.0,7,0
15,proxy15,1.32,0.72,0.65,1.33,1.01,1.57,11,0
16,proxy16,50.02,1.26,3.05,339.19,4.73,0.57,4,1
17,proxy17,12.65,1.24,1.16,12.73,1.0,1.0,7,1
18,proxy18,0.49,1.09,1.15,0.49,0.99,0.57,4,0
19,proxy19,29.47,1.23,5.37,1.81,7.1,4.86,14,0
20,proxy20,1.21,0.86,0.68,1.22,1.0,1.0,7,0
21,proxy21,0.39,0.74,1.02,0.39,0.99,0.57,4,0
22,proxy22,2.37,1.23,1.0,2.39,1.02,1.71,12,0
23,proxy23,1.42,0.77,1.25,1.43,1.01,1.29,9,0
24,proxy24,0.42,1.28,1.12,0.42,0.99,0.57,4,0
25,proxy25,0.86,1.16,1.12,0.87,0.99,1.0,7,0
26,proxy26,1.11,0.88,1.18,1.11,1.0,1.0,7,0
27,proxy27,0.78,0.81,1.04,0.78,1.0,0.86,6,0
28,proxy28,1.0,1.01,0.9,1.01,1.0,1.14,8,0
29,proxy29,1.21,0.93,0.97,1.22,1.0,0.86,6,0
30,proxy30,0.55,0.68,1.03,0.56,1.0,0.71,5,0
31,proxy31,0.74,0.87,1.03,0.75,1.0,0.71,5,0
32,proxy32,1.34,0.83,0.72,1.35,1.0,1.14,8,0
33,proxy33,0.23,0.69,0.67,0.23,0.99,0.29,2,0
34,proxy34,0.81,0.8,1.17,0.81,1.0,0.71,5,0
35,proxy35,7.62,1.06,1.01,7.66,1.0,0.71,5,1
36,proxy36,0.83,0.72,0.97,0.84,1.0,0.86,6,0
37,proxy37,1.42,0.86,1.14,1.43,1.0,0.86,6,0
38,proxy38,1.38,0.71,1.1,1.39,1.0,1.14,8,0
39,proxy39,1.15,0.91,1.17,1.16,1.0,1.0,7,0
40,proxy40,0.55,1.08,1.03,0.55,1.0,0.43,3,0
41,proxy41,0.89,0.77,0.88,0.9,0.99,0.71,5,0
42,proxy42,29.59,0.75,5.21,1.3,9.85,3.86,7,0
43,proxy43,0.78,0.96,1.14,0.78,1.0,1.0,7,0
44,proxy44,0.54,1.23,0.79,0.54,1.0,1.0,7,0
45,proxy45,0.62,1.32,1.01,0.62,0.99,0.57,4,0
46,proxy46,0.97,0.92,0.76,0.98,1.0,1.14,8,0
47,proxy47,24.81,0.77,6.64,2.18,9.17,4.57,12,0
48,proxy48,1.42,1.19,0.78,1.43,1.02,1.57,11,0
49,proxy49,0.91,1.01,0.72,0.91,1.0,0.86,6,0
50,proxy50,1.44,0.89,1.15,1.45,1.01,1.0,7,0
51,proxy51,41.5,0.99,3.52,418.55,4.3,1.14,8,1
52,proxy52,0.86,1.28,1.03,0.86,1.0,0.86,6,0
53,proxy53,1.18,0.71,0.95,1.19,1.0,1.0,7,0
54,proxy54,1.17,1.24,1.12,1.18,1.0,0.71,5,0
55,proxy55,1.67,1.01,1.12,1.68,1.01,1.43,10,0
