id,normal,direct,slow,steal
98.57.190.183,1,0,0,0
65.15.170.234,1,0,0,0
169.234.71.179,1,0,0,0
232.20.133.182,1,0,0,0
191.46.157.154,1,0,0,0
215.244.211.215,1,0,0,0
230.7.219.172,1,0,0,0
140.16.143.64,1,0,0,0
207.204.125.236,1,0,0,0
39.38.36.250,1,0,0,0
34.170.194.75,1,0,0,0
137.220.142.115,1,0,0,0
82.230.36.1,1,0,0,0
104.147.31.113,1,0,0,0
151.186.134.71,1,0,0,0
211.44.23.200,1,0,0,0
150.95.221.18,1,0,0,0
155.138.199.13,1,0,0,0
20.222.169.25,1,0,0,0
232.14.18.21,1,0,0,0
70.126.17.27,1,0,0,0
240.237.34.186,1,0,0,0
133.175.47.205,1,0,0,0
192.222.36.164,1,0,0,0
172.34.152.72,1,0,0,0
17.25.74.244,1,0,0,0
177.156.1.22,1,0,0,0
19.200.143.238,1,0,0,0
200.49.183.30,1,0,0,0
3.33.146.254,1,0,0,0
220.241.132.28,1,0,0,0
219.199.192.237,1,0,0,0
125.81.212.78,1,0,0,0
106.234.242.198,1,0,0,0
230.147.152.138,1,0,0,0
129.164.151.144,1,0,0,0
88.167.126.116,1,0,0,0
212.89.234.219,1,0,0,0
243.165.179.246,1,0,0,0
201.84.34.79,1,0,0,0
53.19.46.182,1,0,0,0
40.254.255.50,1,0,0,0
104.146.90.55,1,0,0,0
117.150.170.110,1,0,0,0
73.76.45.63,1,0,0,0
103.164.240.18,1,0,0,0
148.158.122.57,1,0,0,0
40.148.89.51,1,0,0,0
114.103.147.207,1,0,0,0
64.251.128.27,1,0,0,0
37.178.83.133,1,0,0,0
195.166.10.90,1,0,0,0
108.30.74.159,1,0,0,0
212.49.10.126,1,0,0,0
13.180.44.148,1,0,0,0
173.67.40.20,1,0,0,0
125.83.219.161,1,0,0,0
239.160.102.41,1,0,0,0
116.144.106.193,1,0,0,0
251.236.224.178,1,0,0,0
108.135.237.190,1,0,0,0
135.82.124.86,1,0,0,0
71.196.209.126,1,0,0,0
206.199.74.139,1,0,0,0
94.223.44.246,1,0,0,0
104.244.69.218,1,0,0,0
117.254.150.14,1,0,0,0
67.26.51.186,1,0,0,0
176.41.207.36,1,0,0,0
123.92.35.55,1,0,0,0
13.224.221.157,1,0,0,0
36.131.209.30,1,0,0,0
15.26.200.106,1,0,0,0
71.169.108.88,1,0,0,0
17.233.125.183,1,0,0,0
87.51.47.251,1,0,0,0
102.148.4.33,1,0,0,0
134.153.118.23,1,0,0,0
158.36.117.125,1,0,0,0
143.224.214.82,1,0,0,0
131.80.35.171,1,0,0,0
100.160.80.69,1,0,0,0
245.217.239.212,1,0,0,0
149.84.127.115,1,0,0,0
35.194.8.188,1,0,0,0
161.203.160.231,1,0,0,0
27.254.4.98,1,0,0,0
33.112.116.46,1,0,0,0
179.174.149.10,1,0,0,0
125.102.126.149,1,0,0,0
130.115.159.52,1,0,0,0
163.149.192.23,1,0,0,0
223.36.12.228,1,0,0,0
233.171.56.47,1,0,0,0
220.95.83.169,1,0,0,0
164.143.31.168,1,0,0,0
201.192.123.190,1,0,0,0
167.182.38.253,1,0,0,0
166.138.198.14,1,0,0,0
132.195.173.236,1,0,0,0
35.221.103.62,1,0,0,0
252.80.152.134,1,0,0,0
161.51.247.125,1,0,0,0
155.57.251.50,1,0,0,0
106.152.153.184,1,0,0,0
44.136.251.32,1,0,0,0
51.75.209.235,1,0,0,0
138.89.144.151,1,0,0,0
16.9.129.160,1,0,0,0
100.48.213.206,1,0,0,0
55.13.244.47,1,0,0,0
9.206.32.33,1,0,0,0
227.195.107.108,1,0,0,0
10.231.238.194,1,0,0,0
20.221.85.102,1,0,0,0
95.186.31.71,1,0,0,0
182.201.66.195,1,0,0,0
91.173.182.132,1,0,0,0
220.89.226.134,1,0,0,0
230.233.150.194,1,0,0,0
255.243.157.135,1,0,0,0
40.131.141.48,1,0,0,0
203.120.9.177,1,0,0,0
169.41.236.228,1,0,0,0
251.183.90.102,1,0,0,0
5.38.35.81,1,0,0,0
144.148.53.243,1,0,0,0
202.201.3.118,1,0,0,0
202.178.152.220,1,0,0,0
4.52.187.83,1,0,0,0
154.110.97.7,1,0,0,0
152.175.142.242,1,0,0,0
10.247.173.11,1,0,0,0
175.59.106.216,1,0,0,0
126.216.182.204,1,0,0,0
135.188.124.201,1,0,0,0
140.47.125.172,1,0,0,0
110.13.210.229,1,0,0,0
214.33.17.108,1,0,0,0
127.228.233.28,1,0,0,0
182.92.30.236,1,0,0,0
216.242.205.39,1,0,0,0
160.166.180.223,1,0,0,0
93.50.22.58,1,0,0,0
32.121.238.223,1,0,0,0
188.179.111.110,1,0,0,0
50.113.229.75,1,0,0,0
210.255.153.136,1,0,0,0
69.139.213.79,1,0,0,0
22.164.108.141,1,0,0,0
226.67.109.78,1,0,0,0
223.189.48.58,1,0,0,0
248.91.100.61,1,0,0,0
163.190.245.68,1,0,0,0
202.3.78.133,1,0,0,0
174.140.81.141,1,0,0,0
230.147.184.8,1,0,0,0
