id,normal,direct,slow,steal
5.150.102.228,1,0,0,0
72.245.217.93,1,0,0,0
127.219.122.113,1,0,0,0
143.66.199.58,1,0,0,0
89.15.176.226,1,0,0,0
168.245.141.26,1,0,0,0
158.35.250.61,1,0,0,0
100.75.221.253,1,0,0,0
127.12.73.101,1,0,0,0
167.51.212.19,1,0,0,0
216.127.127.196,0,1,0,0
38.183.10.68,1,0,0,0
164.114.146.183,1,0,0,0
36.250.35.48,1,0,0,0
54.221.63.112,1,0,0,0
4.51.176.214,1,0,0,0
242.246.62.175,1,0,0,0
166.251.161.144,1,0,0,0
41.106.53.110,1,0,0,0
238.217.100.16,1,0,0,0
148.100.203.1,1,0,0,0
59.149.168.122,1,0,0,0
128.45.87.14,1,0,0,0
71.4.200.20,1,0,0,0
43.207.227.148,1,0,0,0
158.67.128.26,1,0,0,0
190.224.172.99,1,0,0,0
134.217.36.18,1,0,0,0
184.245.94.221,1,0,0,0
88.57.204.161,1,0,0,0
230.214.172.168,1,0,0,0
30.47.137.108,1,0,0,0
193.61.255.58,1,0,0,0
127.235.239.150,1,0,0,0
128.120.72.129,1,0,0,0
35.115.73.5,1,0,0,0
118.162.93.228,1,0,0,0
128.98.192.245,1,0,0,0
109.77.36.82,1,0,0,0
81.45.190.130,1,0,0,0
143.48.161.156,1,0,0,0
4.118.145.210,1,0,0,0
76.164.42.105,1,0,0,0
222.51.237.94,1,0,0,0
124.137.244.46,1,0,0,0
162.153.174.156,1,0,0,0
249.165.54.32,1,0,0,0
182.25.192.226,1,0,0,0
198.43.61.53,1,0,0,0
13.86.43.78,1,0,0,0
