id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,20.53,1.13,3.96,157.81,4.79,0.85,11,1
2,proxy2,1.01,1.34,1.24,1.01,1.0,1.23,16,0
3,proxy3,24.49,1.41,3.47,205.29,4.56,1.31,17,1
4,proxy4,0.75,1.43,1.07,0.75,1.0,0.62,8,0
5,proxy5,0.65,1.13,0.95,0.65,0.99,0.69,9,0
6,proxy6,32.75,1.09,6.56,418.12,9.32,1.15,15,1
7,proxy7,0.99,0.94,0.71,0.99,0.99,0.92,12,0
8,proxy8,1.16,1.49,1.07,1.16,1.0,1.15,15,0
9,proxy9,1.21,1.22,0.8,1.21,1.0,1.0,13,0
10,proxy10,1.04,0.85,0.81,1.04,1.0,1.08,14,0
11,proxy11,1.53,0.94,1.0,1.53,1.01,1.54,20,0
12,proxy12,1.02,1.04,1.0,1.02,1.0,1.08,14,0
13,proxy13,0.91,0.96,0.88,0.91,1.01,1.0,13,0
14,proxy14,0.83,0.95,1.11,0.83,1.0,0.85,11,0
15,proxy15,0.96,0.85,1.18,0.96,1.0,0.92,12,0
