id,normal,direct,slow,steal
117.124.233.89,1,0,0,0
188.38.176.181,1,0,0,0
163.87.196.207,1,0,0,0
54.200.93.85,1,0,0,0
210.131.90.226,1,0,0,0
85.214.122.231,1,0,0,0
193.25.81.41,1,0,0,0
96.107.32.17,1,0,0,0
148.237.81.146,1,0,0,0
112.117.157.72,1,0,0,0
82.118.172.20,1,0,0,0
112.216.222.239,1,0,0,0
17.78.117.175,1,0,0,0
244.159.218.148,1,0,0,0
153.146.162.207,1,0,0,0
141.102.186.103,1,0,0,0
91.158.224.143,1,0,0,0
21.187.155.156,1,0,0,0
253.185.77.76,1,0,0,0
53.28.248.134,1,0,0,0
148.59.249.66,1,0,0,0
48.198.199.193,1,0,0,0
29.119.111.99,1,0,0,0
119.135.110.80,1,0,0,0
195.179.5.66,1,0,0,0
103.251.214.25,1,0,0,0
143.212.70.61,1,0,0,0
17.253.1.137,1,0,0,0
38.20.121.164,1,0,0,0
22.87.133.35,1,0,0,0
128.230.10.138,1,0,0,0
193.98.218.105,1,0,0,0
36.82.39.230,1,0,0,0
96.77.129.90,1,0,0,0
111.246.197.91,1,0,0,0
203.37.222.8,1,0,0,0
66.31.12.245,1,0,0,0
80.135.165.250,1,0,0,0
178.154.124.227,1,0,0,0
118.207.96.217,1,0,0,0
248.93.66.194,1,0,0,0
99.3.14.218,1,0,0,0
175.189.80.115,1,0,0,0
114.175.165.27,1,0,0,0
169.150.66.182,1,0,0,0
88.105.141.83,1,0,0,0
123.242.153.36,1,0,0,0
219.157.45.122,1,0,0,0
150.157.131.184,1,0,0,0
168.178.27.73,1,0,0,0
19.38.207.137,1,0,0,0
229.25.3.186,1,0,0,0
52.82.241.180,1,0,0,0
226.140.27.192,1,0,0,0
87.236.101.70,1,0,0,0
208.25.208.97,1,0,0,0
49.8.110.214,1,0,0,0
161.99.242.171,1,0,0,0
169.198.233.62,1,0,0,0
181.175.122.146,1,0,0,0
74.70.60.243,1,0,0,0
89.41.253.64,1,0,0,0
32.111.32.248,1,0,0,0
149.224.182.71,1,0,0,0
85.124.189.188,1,0,0,0
175.210.32.187,1,0,0,0
199.253.192.147,1,0,0,0
87.120.228.181,1,0,0,0
178.179.169.28,1,0,0,0
11.222.158.189,1,0,0,0
113.54.63.52,1,0,0,0
172.83.121.66,1,0,0,0
215.50.149.102,1,0,0,0
78.73.60.129,1,0,0,0
48.52.207.9,1,0,0,0
43.29.97.194,1,0,0,0
22.108.119.232,1,0,0,0
51.206.176.205,1,0,0,0
240.131.54.101,1,0,0,0
25.214.81.106,1,0,0,0
250.166.111.8,1,0,0,0
217.58.148.122,1,0,0,0
188.1.25.114,1,0,0,0
102.155.53.9,1,0,0,0
254.215.9.117,1,0,0,0
221.51.228.71,1,0,0,0
138.28.249.175,1,0,0,0
158.7.70.39,1,0,0,0
236.133.121.113,1,0,0,0
34.13.108.132,1,0,0,0
150.226.14.54,1,0,0,0
78.73.109.27,1,0,0,0
72.63.100.43,1,0,0,0
25.200.115.144,1,0,0,0
14.195.91.161,1,0,0,0
82.253.67.6,1,0,0,0
137.194.130.231,1,0,0,0
173.201.101.86,1,0,0,0
26.177.230.132,1,0,0,0
9.168.12.138,1,0,0,0
85.230.190.195,1,0,0,0
44.59.90.76,0,0,0,1
15.54.150.225,1,0,0,0
85.119.134.233,1,0,0,0
27.58.113.217,1,0,0,0
190.122.140.65,1,0,0,0
222.9.58.232,1,0,0,0
199.56.255.201,1,0,0,0
7.221.189.230,1,0,0,0
27.222.142.228,1,0,0,0
149.203.232.9,1,0,0,0
127.85.73.194,1,0,0,0
97.250.29.224,0,0,0,1
113.91.62.122,1,0,0,0
249.159.55.11,1,0,0,0
71.35.221.185,1,0,0,0
124.216.250.232,1,0,0,0
232.128.219.159,1,0,0,0
23.178.223.40,1,0,0,0
225.239.100.166,1,0,0,0
226.67.163.184,1,0,0,0
227.235.78.99,1,0,0,0
236.202.251.141,1,0,0,0
21.34.255.199,1,0,0,0
144.163.186.68,1,0,0,0
126.27.209.102,1,0,0,0
148.80.86.10,1,0,0,0
87.233.112.250,1,0,0,0
88.44.107.27,1,0,0,0
102.77.68.83,1,0,0,0
184.4.189.156,1,0,0,0
225.27.81.31,1,0,0,0
156.117.163.162,1,0,0,0
117.232.27.31,1,0,0,0
22.67.137.41,1,0,0,0
107.171.239.61,1,0,0,0
172.35.76.39,1,0,0,0
214.253.209.23,1,0,0,0
34.60.247.198,1,0,0,0
148.210.247.85,1,0,0,0
66.60.203.214,1,0,0,0
109.221.188.184,1,0,0,0
53.209.35.127,1,0,0,0
143.237.168.231,1,0,0,0
32.130.14.199,1,0,0,0
220.63.229.180,1,0,0,0
235.140.39.18,1,0,0,0
74.222.223.71,1,0,0,0
142.203.93.129,1,0,0,0
62.78.190.216,1,0,0,0
86.221.155.202,1,0,0,0
93.191.234.22,1,0,0,0
182.188.81.115,1,0,0,0
229.53.11.103,1,0,0,0
90.166.55.23,1,0,0,0
232.86.201.108,1,0,0,0
70.34.182.70,1,0,0,0
38.95.102.188,1,0,0,0
118.153.181.20,1,0,0,0
147.169.88.216,1,0,0,0
220.6.229.86,1,0,0,0
120.241.244.162,1,0,0,0
169.67.242.118,1,0,0,0
133.196.14.44,0,0,0,1
202.255.8.8,1,0,0,0
56.145.52.23,1,0,0,0
85.53.212.19,1,0,0,0
228.225.18.141,1,0,0,0
28.53.11.119,1,0,0,0
74.212.67.51,1,0,0,0
203.26.190.94,1,0,0,0
205.95.255.56,1,0,0,0
126.63.75.97,1,0,0,0
113.83.135.198,1,0,0,0
66.31.103.99,1,0,0,0
190.53.125.54,1,0,0,0
82.253.115.181,1,0,0,0
206.224.13.24,1,0,0,0
161.38.246.2,1,0,0,0
65.86.43.144,1,0,0,0
150.107.44.194,1,0,0,0
125.168.153.104,1,0,0,0
85.124.203.139,1,0,0,0
240.178.55.206,1,0,0,0
161.156.170.81,1,0,0,0
104.22.49.16,1,0,0,0
48.199.40.124,1,0,0,0
74.181.43.6,1,0,0,0
172.196.250.75,1,0,0,0
87.199.91.183,1,0,0,0
240.243.142.130,1,0,0,0
108.147.139.252,1,0,0,0
22.117.156.209,1,0,0,0
72.95.213.246,1,0,0,0
179.170.227.234,1,0,0,0
207.237.75.214,1,0,0,0
105.145.96.168,1,0,0,0
66.251.61.80,0,0,0,1
85.171.41.133,1,0,0,0
40.238.125.6,1,0,0,0
