id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.01,0.86,1.22,1.01,1.0,1.0,13,0
2,proxy2,0.89,1.17,1.23,0.89,0.99,1.0,13,0
3,proxy3,6.4,1.18,0.7,6.4,1.02,1.23,16,1
4,proxy4,0.99,0.91,0.66,0.99,1.0,0.92,12,0
5,proxy5,1.03,1.01,1.08,1.03,1.0,1.08,14,0
6,proxy6,5.9,0.77,0.72,5.9,1.01,1.15,15,1
7,proxy7,1.58,0.99,0.86,1.58,1.02,1.85,24,0
8,proxy8,0.94,1.04,1.0,0.94,0.99,0.92,12,0
9,proxy9,6.28,0.66,1.17,6.28,1.01,1.23,16,1
10,proxy10,1.22,1.09,0.81,1.22,1.01,1.15,15,0
11,proxy11,1.46,1.02,0.66,1.46,1.03,1.69,22,0
12,proxy12,0.69,0.68,0.77,0.69,0.99,0.92,12,0
13,proxy13,1.69,0.76,1.1,1.69,1.02,1.62,21,0
14,proxy14,0.89,1.06,0.83,0.89,1.0,1.15,15,0
15,proxy15,0.94,0.91,1.09,0.94,1.0,0.85,11,0
16,proxy16,1.05,0.93,1.0,1.05,0.99,0.85,11,0
17,proxy17,5.83,1.21,1.09,5.83,1.0,1.08,14,1
18,proxy18,1.61,1.12,1.1,1.61,1.01,1.69,22,0
19,proxy19,0.86,1.23,0.75,0.86,1.0,0.92,12,0
20,proxy20,0.9,0.73,1.18,0.9,0.99,0.77,10,0
