id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,61.100.29.86,28,0.48735080658642105,7,2,6,7
2,126.212.70.167,35,0.7460198162478939,10,2,6,13
3,196.25.143.73,31,0.2863077859486511,10,4,7,9
4,87.40.105.6,43,0.3137463003949921,5,0,5,10
5,124.93.194.34,21,0.16245532003907315,7,3,6,2
6,108.102.231.141,39,0.7855463768464366,3,4,3,4
7,133.83.218.225,39,0.6398556571907211,7,5,6,3
8,132.148.196.108,1,0.5290054924959088,1,5,7,3
9,111.5.228.77,8,0.6016594255992274,7,2,3,10
10,100.64.103.108,1432,0.7484302346074373,58,5,8,14
11,74.118.99.144,46,0.9169996798416428,5,1,8,12
12,110.88.143.119,16,0.5505670789233652,6,0,6,17
13,59.43.7.113,28,0.45805752822538603,8,2,6,13
14,59.54.105.169,34,0.41714080292285116,2,1,2,12
15,13.126.141.142,32,0.6325494035102289,2,0,4,11
16,209.63.131.80,26,0.3721261388421472,3,1,7,16
17,154.36.223.131,13,0.8976766507382127,10,5,8,8
18,247.148.22.64,23,0.232082988002893,4,2,3,3
19,151.227.85.169,32,0.9584523281663525,8,0,1,6
20,12.59.206.126,29,0.12692231036304508,8,2,2,5
21,220.186.194.3,1,0.1683293134706931,5,4,7,12
22,39.189.223.7,4,0.6434714453598774,6,1,4,5
23,205.136.7.96,13,0.8121942791444468,7,1,3,11
24,75.51.169.213,28,0.9197637652377993,5,5,4,9
25,98.77.180.121,19,0.5602496641558984,5,2,4,3
26,49.216.210.18,7,0.11403029112990537,2,4,1,18
27,120.39.183.189,1,0.6760312079432418,7,1,3,15
28,65.8.252.52,1,0.5409423627152499,6,5,2,14
29,66.152.94.123,17,0.6212610612024322,2,0,2,9
30,74.70.209.44,0,0.2790109963958237,10,1,3,9
31,207.232.222.130,19,0.5960887648487406,7,4,5,1
32,50.143.145.81,6,0.6470276764966628,10,5,8,15
33,221.36.21.51,32,0.2695665718976717,8,2,6,2
34,85.143.228.156,3,0.17444191309179513,8,5,4,17
35,211.147.103.201,45,0.9717947808723238,4,0,7,13
36,240.88.28.235,41,0.4120580817883279,4,1,2,9
37,25.225.112.56,8,0.5455518290868862,10,5,7,13
38,145.183.71.140,22,0.95402198702898,5,5,8,12
39,155.209.56.82,24,0.3868603178480966,8,0,4,18
40,114.200.52.52,49,0.3347937113223082,3,1,7,4
41,171.84.94.134,35,0.4657400383970284,1,5,7,5
42,236.78.23.146,2,0.43455303951062085,3,1,6,1
43,72.56.144.135,21,0.38740008029546713,5,4,2,1
44,224.214.148.93,30,0.10201355149168502,7,4,1,19
45,151.120.200.41,18,0.2943665375624802,4,0,8,16
46,49.144.159.16,36,0.42536128117776695,2,3,8,6
47,45.223.17.127,2,0.31259854476981874,1,3,2,14
48,39.45.240.80,25,0.18543169361543352,8,1,5,10
49,2.183.177.26,29,0.191615441087221,7,5,2,19
50,224.230.208.56,14,0.8743903528269716,1,0,3,6
51,250.213.252.43,10,0.831425658964094,4,0,1,2
52,65.135.108.115,36,0.5338088299850006,1,1,8,6
53,178.31.254.116,42,0.34669095353679885,10,5,7,17
54,243.175.161.2,30,0.10536240746861131,7,0,7,5
55,163.160.178.93,8,0.4752580710836707,3,0,5,3
56,150.217.45.80,5,0.97582036149478,7,0,1,5
57,69.42.67.37,38,0.14962710843948407,10,3,1,10
58,119.45.228.66,18,0.24132196613978016,10,1,6,14
59,54.84.174.57,28,0.1985653563459438,4,4,3,16
60,160.8.50.204,0,0.6852428474653479,3,1,5,4
61,72.212.97.245,17,0.9112953827352362,9,4,7,20
62,137.206.230.89,11,0.36522859578940503,6,2,1,12
63,211.196.28.122,21,0.7678714257955032,4,1,4,19
64,55.47.5.114,32,0.328692410179707,2,5,4,15
65,44.228.26.171,29,0.5348863222427661,8,5,2,20
66,153.56.217.228,10,0.10051176900602171,3,5,5,15
67,199.139.218.137,33,0.9541168527407509,8,1,2,6
68,124.1.217.219,0,0.8589183993078101,9,4,1,15
69,119.180.88.136,3,0.6748973017812824,3,5,4,2
70,13.255.224.172,13,0.7373479711296522,2,2,4,13
71,2.96.84.152,34,0.6602478438771539,5,0,5,13
72,58.240.196.246,45,0.20729231752851504,3,0,6,16
73,135.198.157.191,27,0.18784270894236835,10,5,1,9
74,99.72.172.192,46,0.9781751661446659,8,2,1,6
75,220.200.74.129,12,0.8987037795287491,5,1,3,12
76,124.122.14.17,9,0.3436164968016924,3,3,3,16
77,238.189.103.176,42,0.8731567888341156,3,3,8,14
78,142.89.163.13,8,0.6067064570682845,4,5,1,7
79,203.237.84.60,5,0.9720697529518554,3,0,4,5
80,20.248.20.18,20,0.30299706065070453,5,3,3,12
81,31.54.33.138,8,0.11613466144128283,9,5,8,8
82,164.139.171.233,11,0.17845479539046866,8,3,4,16
83,162.204.142.126,31,0.5676489328954283,7,0,2,4
84,20.254.63.30,20,0.5114692846163158,1,4,3,7
85,20.208.32.79,26,0.19770822211330036,5,3,4,4
86,164.225.168.11,49,0.672713619162205,1,3,4,9
87,106.234.252.14,26,0.6779557382768042,5,5,1,17
88,146.127.101.135,12,0.16610144451439718,5,1,4,14
89,227.228.178.231,16,0.9024890128744424,7,5,8,11
90,115.35.181.61,17,0.14638417621609745,9,1,2,2
91,249.245.212.118,23,0.5932172038595392,8,1,2,19
92,91.68.173.206,16,0.3721220117867261,9,5,5,10
93,65.215.41.83,43,0.41614537337263946,1,3,8,19
94,199.240.72.66,4,0.3685310690546033,2,5,3,16
95,99.232.145.43,10,0.32584062281116516,9,3,8,11
96,80.86.66.161,1,0.26837742561443645,10,5,5,19
97,116.196.115.75,0,0.7181698612232196,9,1,6,12
98,205.153.245.154,8,0.5411030580506766,4,2,3,20
99,141.99.150.93,25,0.45898491809137165,9,1,3,19
100,137.78.216.17,47,0.5099576085061319,7,2,2,13
101,203.236.36.39,21,0.23065188647036713,8,2,1,11
102,73.173.172.197,32,0.7728902120189385,8,2,3,17
103,161.17.157.200,12,0.6008906216947568,10,0,8,11
104,113.73.93.102,15,0.25690979413560305,1,5,1,2
105,209.191.252.206,17,0.40418602455993147,8,2,2,16
106,208.196.54.102,25,0.7532052975924688,4,1,4,2
107,205.134.69.199,26,0.7329076113787665,4,2,3,17
108,237.73.152.146,44,0.6450590442418966,1,3,3,15
109,62.233.100.55,1568,0.5541164035167938,134,4,6,5
110,137.45.251.15,35,0.3288090644799286,4,3,3,8
111,67.109.77.241,33,0.292032030127241,5,0,6,7
112,92.232.5.221,37,0.15789931380246364,9,2,3,9
113,208.202.179.45,10,0.16004488830252273,2,2,1,7
114,85.34.60.205,1623,1.127477907661977,151,1,8,3
115,61.104.252.95,19,0.5230362906080545,2,0,4,17
116,176.78.159.146,33,0.26933355718003016,2,0,2,13
117,230.207.255.128,47,0.530739265216023,6,4,1,4
118,185.11.30.52,37,0.834946648638443,1,3,5,10
119,144.153.181.153,15,0.9022536877165541,5,2,6,11
120,76.32.251.250,24,0.4645664338479871,7,4,8,20
121,222.231.120.47,5,0.21532120359741383,2,0,3,16
122,102.229.171.108,5,0.30043445787487927,7,1,2,1
123,222.170.170.143,5,0.10808971245575044,6,0,8,6
124,141.173.142.249,49,0.5221771780162424,1,1,2,15
125,73.224.150.66,29,0.39234178010126297,3,0,4,15
126,192.211.94.169,6,0.15832747624692853,10,5,7,6
127,247.153.21.190,12,0.9408899275945337,8,3,3,3
128,175.64.251.82,26,0.4729141829602773,6,1,7,8
129,174.132.114.254,46,0.18435758479910733,5,0,8,10
130,108.244.182.227,30,0.4688055868062073,2,2,7,7
131,208.124.251.103,18,0.6843081110961654,10,5,8,1
132,93.141.39.167,26,0.4594391911418577,6,0,8,5
133,101.74.208.162,7,0.5282171666434403,8,2,5,15
134,138.151.54.67,41,0.7792816706347662,4,0,5,15
135,180.8.234.186,15,0.15297443194368404,3,2,7,15
136,82.32.48.178,29,0.2723438602299746,7,4,7,8
137,138.252.247.143,4,0.7660958964835937,5,4,7,6
138,79.151.236.194,22,0.2459483689173055,6,0,2,7
139,99.171.167.114,11,0.9990650378529177,8,3,4,10
140,189.61.62.126,8,0.6252807062150231,3,1,3,1
141,35.114.1.155,19,0.4495136789876525,6,1,2,16
142,234.90.94.235,1,0.7756929402110152,3,3,1,10
143,85.115.145.186,23,0.8447330048820251,7,1,1,15
144,239.72.111.196,21,0.48842045165706127,3,3,3,10
145,227.137.56.78,37,0.4775033672719514,2,2,6,11
146,157.66.118.76,9,0.5468169508414951,6,0,2,18
147,12.244.153.38,36,0.6085461675136327,8,3,3,17
148,194.176.33.7,19,0.7794324393847089,1,3,8,6
149,192.147.255.203,4,0.47579935129027384,8,4,2,3
150,36.11.64.175,31,0.31273993279653156,9,5,8,5
151,48.153.128.45,18,0.22177747328278907,6,1,5,15
152,202.18.104.61,18,0.9094512600446469,7,1,7,16
153,74.39.217.185,21,0.17216348280312532,4,0,6,5
154,60.69.203.252,11,0.5726671922080587,7,3,7,13
155,141.132.11.148,1370,1.399972507979725,177,0,5,2
156,167.170.128.5,44,0.4910383421436644,8,0,6,14
157,225.167.51.178,36,0.5577937010708625,4,2,1,20
158,221.164.188.107,21,0.16495233141730925,4,3,2,14
159,144.212.161.92,11,0.6335722242064652,2,0,4,4
160,193.15.191.34,29,0.3920817065325314,5,3,2,16
161,202.53.170.216,25,0.8791240457216969,4,0,8,19
162,235.120.255.220,49,0.679123517734933,3,2,8,1
163,77.158.227.42,1783,0.8308719871061826,80,4,8,9
164,73.101.103.190,29,0.5381183756184271,5,1,5,19
165,167.134.175.238,1886,1.5306439432166794,171,1,9,9
166,159.4.137.253,49,0.5449496420900574,8,5,2,13
167,231.171.250.218,6,0.15855125008941828,10,1,8,1
168,132.126.118.180,6,0.7656110916902376,3,0,1,1
169,245.250.73.1,26,0.8880246886315104,3,4,4,16
170,200.126.222.95,38,0.8572735628683792,1,5,1,5
171,195.160.80.117,46,0.27291502370781295,3,5,6,8
172,100.19.99.3,25,0.17791504794535096,2,0,3,19
173,95.135.193.146,2,0.27048736176190735,9,5,4,2
174,68.197.54.143,1764,1.549501239010565,140,1,9,19
175,214.64.231.180,37,0.8273318168671745,6,5,5,19
176,112.49.135.123,40,0.8817919625695436,1,3,7,19
177,60.33.123.60,27,0.10556629895014613,2,2,1,13
178,4.247.148.171,40,0.12013750606295398,1,2,7,14
179,217.41.117.67,36,0.8863114950467529,9,1,6,4
180,95.78.211.140,40,0.2991952811616263,9,3,5,16
181,156.131.157.163,23,0.6186580141681879,3,3,8,2
182,89.163.106.154,25,0.4575640028836202,5,1,2,3
183,120.115.171.89,43,0.262549702991576,6,0,1,18
184,243.116.251.118,29,0.286315202636812,8,4,8,8
185,171.247.212.151,32,0.6733150708109976,4,2,2,8
186,149.175.98.130,36,0.8768894502798875,7,3,6,13
187,105.36.19.40,33,0.30723391092289215,10,3,3,8
188,213.218.27.236,49,0.23586816306660244,5,1,4,15
189,33.15.249.232,48,0.2141151265530543,6,3,7,11
190,127.103.77.44,31,0.15058940417039035,6,0,2,7
191,76.148.228.8,21,0.11850671127740171,1,3,2,8
192,97.11.33.43,39,0.31280296125880735,9,4,1,5
193,129.30.216.60,28,0.724595714170152,8,1,4,9
194,191.3.66.72,25,0.2084911617653912,1,3,5,4
195,250.223.114.123,46,0.3154268141358919,10,1,3,17
196,230.240.144.247,45,0.7360578073357188,10,4,3,10
197,21.99.21.64,47,0.37201662139099523,7,1,3,2
198,90.189.174.134,21,0.43891430665390607,9,4,3,12
199,212.84.147.254,14,0.47643628795782444,3,0,3,8
200,53.99.143.104,18,0.6317468150285747,5,4,5,2
201,173.188.1.79,45,0.41069520228363177,10,2,5,4
202,176.199.136.44,31,0.981147541005897,3,3,3,5
203,185.121.193.172,0,0.4242324569119914,9,5,3,12
204,177.152.242.130,26,0.5194987608603614,10,0,4,16
205,10.170.132.72,31,0.7110834437399759,4,2,3,4
206,221.154.49.111,21,0.9334121047325751,7,1,3,2
207,13.207.105.21,32,0.3352353283487779,9,4,4,14
208,216.166.24.221,10,0.3691189470746361,4,4,8,4
209,134.209.9.24,17,0.8974933038769729,3,4,2,12
210,218.253.150.136,20,0.8598306027464615,6,2,7,11
211,199.211.125.138,48,0.42203969228766236,8,2,5,10
212,229.49.130.59,45,0.6555430477671916,5,5,3,8
213,84.124.192.228,15,0.31042399843597535,6,3,5,19
214,3.64.236.142,2,0.12982354879605643,6,2,8,6
215,197.57.50.93,46,0.1376930594667155,5,3,1,16
216,74.244.136.230,42,0.8649009506341284,3,2,3,4
217,129.155.21.106,5,0.7275378599135893,1,2,2,5
218,11.236.40.137,26,0.2445269303570113,9,2,3,7
219,10.221.7.210,33,0.6681919237750257,4,2,5,11
220,149.119.90.163,33,0.45132677157246504,1,5,6,18
221,23.133.155.228,16,0.4532110467701158,5,1,8,4
222,129.107.133.68,21,0.9257746776832295,5,3,1,15
223,85.36.111.16,0,0.40344201411703495,2,0,4,16
224,239.28.189.136,6,0.3955007976853776,9,0,4,8
225,40.127.171.219,15,0.70072094946179,6,3,1,1
226,152.213.36.40,22,0.9991629823175006,10,0,5,10
227,32.213.159.107,49,0.8405025728003263,1,3,5,4
228,125.255.73.73,39,0.2928188575666476,1,5,6,7
229,45.72.147.234,24,0.3963646707216316,7,0,6,15
230,187.188.62.29,26,0.44073697339846407,2,3,8,11
231,74.211.136.163,7,0.54316511930607,6,3,5,12
232,197.99.238.169,2,0.5376953557328598,3,5,7,6
233,162.159.69.153,11,0.4726726325466515,5,2,6,6
234,115.155.105.240,23,0.8749169107053941,4,1,7,4
235,71.4.114.50,47,0.13887404314711127,1,4,3,17
236,126.162.177.151,13,0.595501209560147,5,4,3,13
237,142.163.147.87,15,0.7259698411226887,6,3,2,19
238,219.216.22.195,32,0.5333849030223443,4,2,8,5
239,190.90.23.215,6,0.9185222868345904,10,3,5,11
240,101.215.88.109,30,0.6052070429395688,4,2,3,15
241,21.47.90.189,10,0.10410492561831201,1,0,4,3
242,200.20.147.35,50,0.36706131717031465,3,3,4,11
243,83.133.151.96,25,0.1399482851999579,10,2,2,7
244,230.12.24.21,42,0.6630284645570405,2,5,7,5
245,21.86.119.73,21,0.6940133460186696,6,5,8,11
246,73.75.249.69,44,0.6325031248941323,7,3,1,8
247,126.57.214.53,36,0.23435071622456782,10,0,6,6
248,255.235.133.16,27,0.7120424733023013,3,0,1,14
249,109.176.68.89,25,0.7086597451909159,1,4,6,7
250,163.181.36.211,17,0.12417915214108197,6,2,8,20
251,103.155.140.223,5,0.981847018287648,2,3,8,8
252,193.40.39.193,21,0.6554904461225072,10,4,4,9
253,73.187.137.27,19,0.3542702435860652,1,3,2,10
254,177.33.254.57,8,0.3256064381613393,5,1,8,10
255,12.40.231.210,22,0.31116565265464313,3,1,4,2
256,164.114.134.133,37,0.9205070800142278,1,4,8,15
257,12.35.66.49,45,0.5551880094645036,1,2,4,5
258,112.89.47.88,46,0.7267166678952978,9,1,1,9
259,112.103.236.227,23,0.17018057070831155,4,2,5,4
260,203.23.46.30,0,0.6438377109491825,5,2,8,9
261,228.9.51.203,20,0.6252108896354395,8,4,2,5
262,108.152.41.194,35,0.814823389159778,7,1,1,13
263,109.82.42.29,25,0.4492442255937341,6,2,2,7
264,171.55.135.241,9,0.8379057966549991,3,3,2,20
265,22.228.33.50,13,0.9456823403498902,3,1,3,17
266,212.245.26.21,21,0.6176973057355578,9,3,2,16
267,190.42.181.157,3,0.718141320021998,5,4,4,7
268,176.203.103.156,16,0.24845613989970666,4,2,1,19
269,116.207.161.37,0,0.5770056876539943,7,4,1,13
270,116.175.239.34,43,0.17364149662721098,8,5,5,7
271,33.176.83.34,2,0.20189256194028546,6,4,3,11
272,223.4.229.113,15,0.6588033309011445,7,5,6,16
273,64.57.125.31,26,0.822739048761002,7,2,6,13
274,121.54.40.5,15,0.7643271796555624,10,4,1,18
275,181.10.36.177,28,0.6863824694788899,2,2,4,4
276,136.113.125.132,35,0.8020797014054718,3,4,7,4
277,206.95.226.230,32,0.3550708936608845,8,3,6,19
278,152.152.23.226,24,0.2761082336510158,1,2,8,6
279,97.66.70.28,36,0.4913843850840549,6,5,4,12
280,136.226.92.32,0,0.36544282975130027,10,5,3,11
281,181.200.101.238,11,0.5568180140788683,1,4,5,18
282,94.159.131.150,3,0.22334378069564015,7,0,3,6
283,90.16.221.171,18,0.6968929651630149,1,5,1,4
284,71.74.212.109,40,0.9733192860673177,4,4,1,20
285,173.151.47.75,11,0.8304452141778375,6,4,4,16
286,43.108.87.73,16,0.3321698552502919,10,3,7,14
287,209.144.29.186,50,0.21342776181380974,5,2,6,4
288,56.212.207.79,35,0.9111748951487281,2,1,6,1
289,97.216.170.49,1816,1.650216736770178,65,0,9,12
290,102.247.87.195,32,0.7502527669346886,10,0,7,4
291,105.84.105.138,30,0.1703362239697515,6,3,3,1
292,141.166.8.213,0,0.5729876306059496,2,5,7,20
293,214.73.46.189,12,0.2261049300882897,9,4,6,7
294,176.71.46.22,8,0.8689686471599147,9,1,2,11
295,219.22.141.16,42,0.5095906759331942,9,0,8,19
296,216.53.223.232,48,0.23658382143742018,1,5,8,10
297,38.205.126.238,38,0.14499942835957405,5,2,5,16
298,188.112.6.32,10,0.6840946109150046,2,1,8,9
299,110.166.27.126,44,0.44271949983948633,4,4,2,15
300,243.99.250.157,8,0.6280877200076868,2,1,6,20
301,1.166.126.204,11,0.8377222690190333,10,1,4,1
302,102.133.139.250,13,0.5735298926986327,1,5,1,20
303,83.167.79.178,49,0.9143209563720612,8,5,2,2
304,57.193.103.107,23,0.12747152118462257,1,3,2,5
305,216.237.108.113,50,0.20961204189830118,1,5,6,7
306,127.115.194.50,45,0.8339028046928514,1,1,6,13
