id,normal,direct,slow,steal
122.211.89.104,1,0,0,0
107.186.13.81,1,0,0,0
242.53.82.229,1,0,0,0
231.19.33.90,1,0,0,0
137.202.42.31,1,0,0,0
105.199.244.82,1,0,0,0
21.64.224.101,1,0,0,0
132.88.13.102,1,0,0,0
244.245.10.255,1,0,0,0
250.248.250.188,1,0,0,0
109.225.240.177,1,0,0,0
215.239.150.203,1,0,0,0
44.70.123.83,1,0,0,0
230.137.153.8,1,0,0,0
211.30.11.231,1,0,0,0
40.253.237.127,1,0,0,0
124.201.185.11,1,0,0,0
92.106.197.238,1,0,0,0
189.199.212.226,1,0,0,0
164.1.8.102,1,0,0,0
213.32.215.162,1,0,0,0
20.27.140.21,1,0,0,0
12.51.62.200,1,0,0,0
239.241.76.126,1,0,0,0
136.44.129.135,1,0,0,0
179.147.137.248,1,0,0,0
104.35.22.28,1,0,0,0
106.133.24.127,1,0,0,0
146.66.153.239,1,0,0,0
106.70.205.75,1,0,0,0
83.39.74.253,1,0,0,0
129.184.45.230,1,0,0,0
37.40.57.218,1,0,0,0
188.201.174.70,1,0,0,0
86.121.177.191,1,0,0,0
56.112.191.164,1,0,0,0
183.143.126.222,1,0,0,0
187.175.9.134,1,0,0,0
52.178.230.60,1,0,0,0
82.55.166.218,1,0,0,0
114.180.221.11,1,0,0,0
156.214.196.99,1,0,0,0
110.103.6.44,1,0,0,0
83.76.43.9,1,0,0,0
160.157.167.60,1,0,0,0
75.96.25.33,1,0,0,0
57.101.55.175,1,0,0,0
17.63.235.76,1,0,0,0
164.62.135.61,1,0,0,0
123.231.210.159,1,0,0,0
20.145.42.137,1,0,0,0
99.7.103.105,1,0,0,0
249.247.121.207,1,0,0,0
65.231.129.241,1,0,0,0
8.125.6.63,1,0,0,0
116.2.226.194,1,0,0,0
107.217.26.60,1,0,0,0
11.178.151.207,1,0,0,0
59.120.172.226,1,0,0,0
136.93.175.216,1,0,0,0
30.158.94.81,1,0,0,0
179.102.163.23,1,0,0,0
52.255.199.227,1,0,0,0
130.217.77.99,1,0,0,0
135.235.152.82,1,0,0,0
151.19.149.92,1,0,0,0
20.17.141.230,1,0,0,0
251.96.129.179,1,0,0,0
144.64.191.74,1,0,0,0
249.51.128.105,1,0,0,0
52.146.203.203,1,0,0,0
191.171.52.88,1,0,0,0
241.140.30.131,1,0,0,0
15.80.43.20,1,0,0,0
198.174.146.176,1,0,0,0
123.210.24.198,1,0,0,0
242.59.17.161,1,0,0,0
50.67.59.161,1,0,0,0
5.171.1.152,1,0,0,0
198.243.56.203,1,0,0,0
72.130.147.23,1,0,0,0
54.172.236.51,1,0,0,0
250.232.170.37,1,0,0,0
238.90.156.195,1,0,0,0
81.71.1.62,1,0,0,0
161.201.245.148,1,0,0,0
24.36.10.54,1,0,0,0
75.53.156.97,1,0,0,0
32.1.95.253,1,0,0,0
163.198.217.197,1,0,0,0
39.252.96.26,1,0,0,0
176.195.40.205,1,0,0,0
214.74.191.98,1,0,0,0
5.80.157.192,1,0,0,0
166.181.43.151,1,0,0,0
166.63.18.239,1,0,0,0
147.202.229.94,1,0,0,0
136.205.36.253,1,0,0,0
24.191.49.54,1,0,0,0
240.47.129.137,1,0,0,0
14.18.131.227,1,0,0,0
37.252.65.81,1,0,0,0
4.219.224.159,1,0,0,0
98.109.34.230,1,0,0,0
25.181.133.151,1,0,0,0
66.199.236.253,1,0,0,0
246.206.59.185,1,0,0,0
196.199.240.24,1,0,0,0
209.152.165.149,1,0,0,0
86.140.250.192,1,0,0,0
48.112.14.96,1,0,0,0
31.134.119.142,1,0,0,0
250.225.35.238,1,0,0,0
73.5.245.191,1,0,0,0
198.85.247.122,1,0,0,0
8.248.54.229,1,0,0,0
191.91.52.56,1,0,0,0
164.189.42.21,1,0,0,0
99.43.64.148,1,0,0,0
198.82.206.248,1,0,0,0
134.110.65.64,1,0,0,0
207.126.192.3,1,0,0,0
101.15.6.94,1,0,0,0
167.89.160.125,1,0,0,0
74.56.242.18,1,0,0,0
181.131.16.238,1,0,0,0
56.67.188.7,1,0,0,0
209.166.48.158,1,0,0,0
235.235.48.52,1,0,0,0
109.41.245.12,1,0,0,0
35.143.42.229,1,0,0,0
244.134.29.35,1,0,0,0
131.240.130.153,1,0,0,0
186.75.95.149,1,0,0,0
14.142.101.35,1,0,0,0
40.221.99.225,1,0,0,0
244.136.126.95,1,0,0,0
232.16.199.83,0,1,0,0
239.198.46.205,1,0,0,0
249.99.84.107,1,0,0,0
57.122.2.87,1,0,0,0
251.158.162.114,1,0,0,0
185.187.216.58,1,0,0,0
138.103.116.39,1,0,0,0
48.80.181.249,1,0,0,0
14.58.229.21,1,0,0,0
79.139.72.243,1,0,0,0
249.83.177.88,1,0,0,0
166.107.171.50,1,0,0,0
173.194.233.212,1,0,0,0
60.241.96.11,1,0,0,0
214.238.248.67,1,0,0,0
175.135.181.131,1,0,0,0
245.77.227.208,1,0,0,0
248.11.246.86,1,0,0,0
121.250.136.214,1,0,0,0
230.54.245.223,1,0,0,0
111.189.200.169,1,0,0,0
154.74.65.57,1,0,0,0
45.27.186.216,1,0,0,0
255.200.52.171,1,0,0,0
243.248.57.124,1,0,0,0
208.93.29.246,1,0,0,0
77.104.138.139,1,0,0,0
216.72.213.150,1,0,0,0
183.154.159.231,1,0,0,0
232.180.146.226,1,0,0,0
227.239.70.240,1,0,0,0
254.150.112.201,1,0,0,0
44.228.95.92,1,0,0,0
15.6.61.253,1,0,0,0
130.19.69.182,1,0,0,0
9.158.170.115,1,0,0,0
249.45.199.238,1,0,0,0
49.243.149.179,1,0,0,0
81.135.50.63,0,1,0,0
153.192.118.178,1,0,0,0
61.205.255.59,1,0,0,0
196.150.84.22,1,0,0,0
25.52.137.16,1,0,0,0
204.178.50.120,1,0,0,0
235.115.69.124,1,0,0,0
161.169.246.61,1,0,0,0
11.128.51.237,1,0,0,0
178.101.195.142,1,0,0,0
222.170.207.184,1,0,0,0
187.160.96.27,1,0,0,0
223.210.78.207,1,0,0,0
96.173.223.130,1,0,0,0
237.104.221.184,1,0,0,0
77.92.232.65,1,0,0,0
203.222.5.54,1,0,0,0
156.112.7.64,1,0,0,0
95.183.103.243,1,0,0,0
183.169.159.135,1,0,0,0
148.173.97.45,1,0,0,0
232.230.198.164,1,0,0,0
140.238.86.169,1,0,0,0
99.66.187.42,1,0,0,0
3.3.240.57,1,0,0,0
220.205.68.224,1,0,0,0
166.18.55.50,1,0,0,0
180.191.203.91,1,0,0,0
3.81.112.252,1,0,0,0
245.209.210.246,1,0,0,0
82.73.60.214,1,0,0,0
157.14.47.13,1,0,0,0
225.120.153.225,1,0,0,0
101.174.32.170,1,0,0,0
56.137.184.122,0,1,0,0
55.68.195.10,1,0,0,0
87.10.132.244,1,0,0,0
253.199.173.146,1,0,0,0
33.213.134.67,1,0,0,0
198.237.71.237,1,0,0,0
54.78.40.220,1,0,0,0
215.146.115.63,1,0,0,0
207.247.128.161,1,0,0,0
90.140.210.204,1,0,0,0
86.216.173.49,1,0,0,0
30.117.21.213,1,0,0,0
152.89.113.147,1,0,0,0
112.113.76.76,1,0,0,0
71.156.227.240,0,1,0,0
253.165.176.200,1,0,0,0
171.214.248.2,1,0,0,0
255.188.199.189,1,0,0,0
215.36.148.231,1,0,0,0
49.110.21.181,1,0,0,0
143.91.25.176,1,0,0,0
202.229.53.188,1,0,0,0
43.143.129.226,1,0,0,0
25.143.181.2,1,0,0,0
140.169.160.35,1,0,0,0
136.182.254.43,1,0,0,0
150.224.242.194,1,0,0,0
180.40.148.197,1,0,0,0
19.252.82.211,1,0,0,0
247.66.8.141,1,0,0,0
174.178.222.249,1,0,0,0
