id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.88,0.82,2.54,1.42,3.79,2.0,27,0
2,proxy2,0.99,0.89,1.03,1.22,1.0,1.06,25,0
3,proxy3,1.29,0.99,2.08,0.92,2.89,1.74,21,0
4,proxy4,1.16,1.3,1.77,1.02,2.09,1.87,24,0
5,proxy5,0.22,1.35,0.92,0.27,0.97,0.34,8,0
6,proxy6,0.64,1.01,0.63,0.79,0.99,0.68,16,0
7,proxy7,1.01,0.82,0.97,1.26,0.99,0.85,20,0
8,proxy8,0.79,1.22,0.74,0.98,1.0,0.94,22,0
9,proxy9,0.6,0.82,0.58,0.74,0.98,0.64,15,0
10,proxy10,1.36,1.35,2.33,1.02,3.45,1.79,22,0
