id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,181.139.243.233,2,0.38345559884557956,5,3,1,4
2,22.98.255.30,35,0.5434518572116601,8,0,6,10
3,78.102.220.51,31,0.4112194743649399,3,2,5,8
4,152.238.24.150,32,0.9103834191804935,2,0,2,4
5,39.116.199.13,9,0.12914274467039064,7,0,4,3
6,147.120.161.98,38,0.9791554935177247,9,1,7,3
7,129.72.199.127,50,0.4860022903261535,5,1,6,2
8,211.111.252.29,14,0.8949879466714266,7,2,8,9
9,149.40.221.202,40,0.7938729636518354,7,2,7,9
10,19.186.134.125,35,0.17634981750444173,10,2,6,10
11,148.216.227.162,48,0.9768920366772709,9,3,6,9
12,32.254.12.90,45,0.7650085830861276,6,5,6,3
13,4.5.160.198,34,0.123137070320391,6,3,5,2
14,233.195.25.228,33,0.1933626020691013,9,2,5,10
15,19.68.138.205,38,0.8298667239606733,9,4,4,2
16,33.132.59.211,12,0.7879349471443934,10,3,2,1
17,56.210.159.18,32,0.8460280011580482,7,1,6,5
18,111.49.107.187,41,0.7544313257407416,10,1,3,2
19,192.239.88.218,37,0.6425634664471643,2,5,8,8
20,156.238.33.202,22,0.17558386744315357,3,5,4,6
21,207.203.227.255,34,0.14363145772057362,1,3,3,4
22,135.41.113.144,10,0.3617034826089376,10,1,2,3
23,248.133.155.93,2,0.9286936002232894,2,1,6,4
24,151.112.153.123,18,0.22057619654319238,7,1,6,8
25,179.63.118.173,3,0.3237036575238478,2,2,4,6
26,250.45.253.130,38,0.30566046447690587,2,0,5,3
27,186.65.110.56,10,0.6328153315899435,6,5,7,9
28,117.253.205.5,36,0.6456021707532357,8,3,1,8
29,25.98.98.29,24,0.9911123730724071,7,3,5,5
30,173.52.168.80,44,0.9584256599870785,6,4,2,7
31,224.82.186.114,36,0.3031264563824742,2,0,4,1
32,41.96.47.176,34,0.16245859256557144,10,0,6,1
33,148.176.101.244,42,0.901777688437675,9,4,7,3
34,69.6.221.39,1,0.8884954742480191,2,0,3,9
35,87.240.195.103,27,0.4143696050383996,1,4,1,5
36,9.29.255.68,12,0.4725795010716042,6,5,2,9
37,124.96.125.254,33,0.46581724995829343,1,3,4,10
38,90.120.65.72,40,0.8643661512010815,4,3,3,10
39,15.112.146.115,50,0.8404198057721197,1,5,5,9
40,30.227.246.180,26,0.1925234625152608,10,1,1,9
41,252.160.208.227,19,0.7486637797773953,6,0,3,9
42,80.234.91.77,18,0.7070080938746147,7,0,7,6
43,109.11.241.221,5,0.8726457373246318,3,3,6,5
44,116.138.94.166,35,0.3024554095440209,3,4,8,2
45,55.218.245.98,18,0.5307917224770193,10,4,5,5
46,209.179.51.108,2,0.40242124411289426,10,0,5,5
47,31.90.22.248,28,0.8890896736455958,2,1,6,7
48,57.154.73.33,39,0.931219382245465,7,5,8,8
49,177.189.124.46,0,0.6973699981560473,2,1,3,1
50,81.10.147.236,48,0.7995331652723707,6,3,2,8
51,38.20.193.8,40,4.144564858432295,6,6,0,7
52,255.138.232.2,18,0.5069627496958703,2,1,6,5
53,58.219.183.230,45,0.4995785276897965,7,5,6,9
54,229.245.106.220,7,0.20379094187694835,7,5,2,5
55,31.176.195.159,30,0.7776649530753097,2,5,5,5
56,226.64.164.5,47,0.7817772955025117,2,4,2,1
57,121.102.142.213,45,0.20430314861468551,2,4,5,5
58,52.93.195.182,41,0.14344245589789656,7,1,4,7
59,210.38.191.23,1,0.23981830554911324,1,5,7,9
60,10.186.152.144,19,0.8650497872839716,6,1,1,7
61,173.254.164.162,6,0.15786295883042123,6,3,8,9
62,74.226.115.209,46,0.12029810740216695,3,0,2,2
63,159.135.215.46,16,0.5084447749273883,2,4,3,9
64,20.11.117.226,8,0.3728769570333681,10,0,1,6
65,241.1.110.252,6,0.9382986808571209,7,3,1,4
66,247.139.79.148,22,0.3481772773862594,1,2,1,8
67,80.90.160.92,5,0.3584155191898689,6,3,3,8
68,219.63.40.76,32,1.4628607076090718,5,6,0,9
69,60.245.40.96,1,0.8642995221293067,1,2,7,1
70,198.6.162.121,6,0.5851660187046418,10,3,2,2
71,211.210.246.205,21,0.8981193693556144,8,1,5,2
72,234.130.78.177,34,0.7248170239070957,5,3,1,2
73,48.21.216.34,32,4.750447640696762,1,7,0,7
74,92.138.27.183,35,3.6553746129609297,6,8,0,7
75,182.183.166.34,29,0.7243202946736073,7,1,2,7
76,59.43.239.123,26,0.28514071154205445,4,0,7,4
77,122.125.66.244,11,0.9523672928476145,7,3,4,2
78,211.130.46.252,12,0.745268740249988,1,5,2,1
79,176.113.155.216,44,0.3600863855333921,9,3,3,3
80,108.40.89.24,38,0.23747570483480687,6,3,7,5
81,210.160.219.156,14,0.52908224976475,7,2,2,5
82,51.113.237.69,41,0.5227618508160173,9,4,1,4
83,29.142.245.100,11,0.45440555690764084,5,2,1,10
84,140.50.109.80,41,0.48832011616839066,3,1,5,8
85,17.126.105.74,7,0.17635001791680194,3,5,1,4
86,1.31.216.23,0,0.37544319011888283,5,5,7,7
87,216.113.2.80,8,0.1034584128650764,9,0,4,8
88,180.180.27.42,48,1.5424809823035086,4,8,0,3
89,185.229.99.98,30,0.4774471256727554,6,0,5,5
90,164.68.16.149,30,0.23264475163000922,1,3,7,9
91,29.55.180.17,2,0.17245069000775237,8,2,2,4
92,204.173.112.198,10,0.9940913632930575,6,0,1,10
93,84.9.194.102,10,0.14214181860544123,8,1,2,1
94,150.13.228.181,24,0.9397403620267533,5,2,5,8
95,41.135.25.170,12,0.6116580877094742,8,4,1,10
96,6.165.156.187,49,0.6511691091184865,5,4,1,9
97,32.105.78.33,35,0.6580434925293691,8,0,1,1
98,241.193.126.233,38,0.4768731636125687,4,0,7,10
99,242.90.65.116,11,0.8629643525562095,6,1,1,2
100,122.58.189.106,37,0.9329852828358388,4,4,6,1
101,246.131.156.185,47,0.9607304625659855,9,3,3,4
102,174.160.243.1,0,0.8755899743694512,4,2,4,3
103,226.229.86.23,27,0.7936079389545834,4,1,4,6
104,133.183.21.21,3,0.34742704817714554,6,3,6,5
105,207.77.107.227,46,0.629784542534153,9,5,6,5
106,131.222.212.208,20,0.5901720633636398,8,4,6,2
107,21.92.104.99,13,0.12340634639117441,10,1,1,9
108,44.113.193.156,12,0.5651503939706576,10,2,5,5
109,160.125.147.150,40,0.14104377696879372,3,2,1,3
110,57.175.82.156,29,0.6857022425941326,10,4,7,3
111,155.80.124.116,22,0.16979148582592457,1,5,8,2
112,116.111.215.248,13,0.6685871033816351,9,4,6,6
113,252.197.118.82,44,0.3676096158230391,6,4,5,1
114,4.101.152.9,25,0.866170954067468,9,1,6,10
115,253.2.10.206,50,0.5503213291289599,9,1,4,8
116,1.226.155.68,48,0.3353576826573986,5,0,3,8
117,212.123.90.182,26,0.5634514551256607,8,5,2,1
118,24.16.127.253,4,0.8935516594807184,2,0,3,10
119,246.124.156.99,49,0.3987369277709456,9,2,2,3
120,41.119.155.75,36,0.3011313781641112,7,5,3,8
121,117.99.93.201,47,0.967087114130835,9,1,2,8
122,194.153.52.6,5,0.16398221040020167,5,1,5,4
123,142.234.19.194,11,0.7490680236760413,7,5,4,3
124,115.9.104.229,27,0.9182706654209506,8,0,8,10
125,113.158.253.199,13,0.8855043842525888,1,1,8,10
126,35.183.70.39,2,0.5554504467138729,4,5,6,1
127,245.162.110.18,23,0.8525789971587998,5,1,1,10
128,74.52.149.50,13,0.1461708871243535,1,4,1,4
129,63.2.188.159,2,0.1983915989834918,8,2,7,7
130,7.129.172.24,0,0.10928193330614253,10,1,6,6
