id,normal,direct,slow,steal
181.139.243.233,1,0,0,0
22.98.255.30,1,0,0,0
78.102.220.51,1,0,0,0
152.238.24.150,1,0,0,0
39.116.199.13,1,0,0,0
147.120.161.98,1,0,0,0
129.72.199.127,1,0,0,0
211.111.252.29,1,0,0,0
149.40.221.202,1,0,0,0
19.186.134.125,1,0,0,0
148.216.227.162,1,0,0,0
32.254.12.90,1,0,0,0
4.5.160.198,1,0,0,0
233.195.25.228,1,0,0,0
19.68.138.205,1,0,0,0
33.132.59.211,1,0,0,0
56.210.159.18,1,0,0,0
111.49.107.187,1,0,0,0
192.239.88.218,1,0,0,0
156.238.33.202,1,0,0,0
207.203.227.255,1,0,0,0
135.41.113.144,1,0,0,0
248.133.155.93,1,0,0,0
151.112.153.123,1,0,0,0
179.63.118.173,1,0,0,0
250.45.253.130,1,0,0,0
186.65.110.56,1,0,0,0
117.253.205.5,1,0,0,0
25.98.98.29,1,0,0,0
173.52.168.80,1,0,0,0
224.82.186.114,1,0,0,0
41.96.47.176,1,0,0,0
148.176.101.244,1,0,0,0
69.6.221.39,1,0,0,0
87.240.195.103,1,0,0,0
9.29.255.68,1,0,0,0
124.96.125.254,1,0,0,0
90.120.65.72,1,0,0,0
15.112.146.115,1,0,0,0
30.227.246.180,1,0,0,0
252.160.208.227,1,0,0,0
80.234.91.77,1,0,0,0
109.11.241.221,1,0,0,0
116.138.94.166,1,0,0,0
55.218.245.98,1,0,0,0
209.179.51.108,1,0,0,0
31.90.22.248,1,0,0,0
57.154.73.33,1,0,0,0
177.189.124.46,1,0,0,0
81.10.147.236,1,0,0,0
38.20.193.8,0,0,1,0
255.138.232.2,1,0,0,0
58.219.183.230,1,0,0,0
229.245.106.220,1,0,0,0
31.176.195.159,1,0,0,0
226.64.164.5,1,0,0,0
121.102.142.213,1,0,0,0
52.93.195.182,1,0,0,0
210.38.191.23,1,0,0,0
10.186.152.144,1,0,0,0
173.254.164.162,1,0,0,0
74.226.115.209,1,0,0,0
159.135.215.46,1,0,0,0
20.11.117.226,1,0,0,0
241.1.110.252,1,0,0,0
247.139.79.148,1,0,0,0
80.90.160.92,1,0,0,0
219.63.40.76,0,0,1,0
60.245.40.96,1,0,0,0
198.6.162.121,1,0,0,0
211.210.246.205,1,0,0,0
234.130.78.177,1,0,0,0
48.21.216.34,0,0,1,0
92.138.27.183,0,0,1,0
182.183.166.34,1,0,0,0
59.43.239.123,1,0,0,0
122.125.66.244,1,0,0,0
211.130.46.252,1,0,0,0
176.113.155.216,1,0,0,0
108.40.89.24,1,0,0,0
210.160.219.156,1,0,0,0
51.113.237.69,1,0,0,0
29.142.245.100,1,0,0,0
140.50.109.80,1,0,0,0
17.126.105.74,1,0,0,0
1.31.216.23,1,0,0,0
216.113.2.80,1,0,0,0
180.180.27.42,0,0,1,0
185.229.99.98,1,0,0,0
164.68.16.149,1,0,0,0
29.55.180.17,1,0,0,0
204.173.112.198,1,0,0,0
84.9.194.102,1,0,0,0
150.13.228.181,1,0,0,0
41.135.25.170,1,0,0,0
6.165.156.187,1,0,0,0
32.105.78.33,1,0,0,0
241.193.126.233,1,0,0,0
242.90.65.116,1,0,0,0
122.58.189.106,1,0,0,0
246.131.156.185,1,0,0,0
174.160.243.1,1,0,0,0
226.229.86.23,1,0,0,0
133.183.21.21,1,0,0,0
207.77.107.227,1,0,0,0
