id,normal,direct,slow,steal
236.88.1.49,1,0,0,0
53.16.80.69,1,0,0,0
10.28.38.32,1,0,0,0
99.4.106.181,1,0,0,0
78.236.7.200,1,0,0,0
13.253.179.145,1,0,0,0
241.231.152.203,1,0,0,0
194.85.115.88,1,0,0,0
1.202.47.190,1,0,0,0
38.228.233.1,1,0,0,0
162.133.215.163,1,0,0,0
81.11.132.103,1,0,0,0
5.138.22.133,1,0,0,0
230.29.248.185,1,0,0,0
35.238.231.207,1,0,0,0
98.47.82.48,1,0,0,0
143.251.242.127,1,0,0,0
153.218.252.215,1,0,0,0
133.138.125.75,1,0,0,0
130.100.113.84,1,0,0,0
164.24.143.18,1,0,0,0
55.245.53.181,1,0,0,0
30.226.79.127,1,0,0,0
200.128.194.15,1,0,0,0
42.230.149.181,1,0,0,0
97.44.97.211,1,0,0,0
215.12.251.5,1,0,0,0
7.244.41.92,1,0,0,0
119.113.169.119,1,0,0,0
117.97.53.3,1,0,0,0
157.249.246.219,0,0,1,0
163.130.21.235,1,0,0,0
151.228.250.189,1,0,0,0
253.125.116.248,1,0,0,0
225.81.65.94,1,0,0,0
15.160.160.28,1,0,0,0
219.238.210.106,1,0,0,0
199.197.244.103,1,0,0,0
191.57.126.36,1,0,0,0
65.201.37.154,1,0,0,0
153.23.134.8,1,0,0,0
122.252.130.130,1,0,0,0
215.121.202.222,1,0,0,0
76.239.215.126,1,0,0,0
182.14.184.59,1,0,0,0
35.128.10.89,1,0,0,0
223.26.198.218,1,0,0,0
248.112.202.169,1,0,0,0
227.91.179.131,1,0,0,0
202.76.104.10,1,0,0,0
94.68.133.8,1,0,0,0
164.30.60.42,1,0,0,0
84.56.166.85,1,0,0,0
100.136.111.110,1,0,0,0
211.207.19.252,1,0,0,0
8.84.46.239,1,0,0,0
38.204.148.136,1,0,0,0
27.216.201.43,1,0,0,0
231.203.95.46,1,0,0,0
65.88.50.167,1,0,0,0
104.30.28.72,1,0,0,0
79.69.105.176,1,0,0,0
167.171.98.241,1,0,0,0
108.246.249.140,1,0,0,0
8.112.216.59,1,0,0,0
112.234.243.124,1,0,0,0
222.187.170.153,1,0,0,0
80.143.120.9,1,0,0,0
205.183.173.161,1,0,0,0
119.96.254.48,1,0,0,0
227.113.152.171,1,0,0,0
7.95.211.253,1,0,0,0
255.152.179.79,1,0,0,0
243.59.73.108,1,0,0,0
4.55.202.139,1,0,0,0
6.136.210.149,1,0,0,0
34.161.153.163,1,0,0,0
24.128.109.96,1,0,0,0
105.33.107.39,1,0,0,0
63.15.173.224,1,0,0,0
111.117.236.100,1,0,0,0
74.45.230.187,1,0,0,0
100.122.196.169,1,0,0,0
71.159.163.91,1,0,0,0
205.89.152.8,1,0,0,0
252.235.158.210,1,0,0,0
113.176.90.87,1,0,0,0
198.6.134.98,1,0,0,0
232.65.247.63,0,0,1,0
35.156.18.115,1,0,0,0
250.9.53.109,1,0,0,0
52.222.99.93,1,0,0,0
254.16.10.215,1,0,0,0
132.124.51.147,1,0,0,0
188.237.233.178,1,0,0,0
199.199.57.66,1,0,0,0
223.105.160.196,1,0,0,0
25.189.208.33,1,0,0,0
178.28.144.217,1,0,0,0
209.35.5.210,1,0,0,0
