id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.7,0.87,1.07,0.71,1.01,0.92,6,0
2,proxy2,0.79,0.93,1.3,0.81,1.0,0.77,5,0
3,proxy3,0.7,0.9,0.69,0.71,0.99,0.77,5,0
4,proxy4,1.13,1.03,1.29,1.16,1.01,1.08,7,0
5,proxy5,1.81,0.87,0.88,1.85,1.02,1.54,10,0
6,proxy6,1.34,0.96,0.99,1.37,1.01,1.54,10,0
7,proxy7,1.31,1.22,1.24,1.34,1.01,1.23,8,0
8,proxy8,1.09,1.15,0.92,1.11,1.01,1.23,8,0
9,proxy9,0.7,1.26,1.05,0.71,1.0,0.77,5,0
10,proxy10,0.51,1.07,1.06,0.52,1.0,0.62,4,0
11,proxy11,2.72,0.83,5.41,0.95,9.21,4.15,7,0
12,proxy12,0.9,0.75,0.72,0.91,0.99,0.92,6,0
13,proxy13,0.7,0.66,0.69,0.71,1.0,0.77,5,0
14,proxy14,1.28,1.0,0.87,1.3,1.0,1.38,9,0
15,proxy15,1.04,1.23,0.71,1.07,1.0,1.23,8,0
16,proxy16,0.81,0.8,1.26,0.83,1.0,0.92,6,0
17,proxy17,1.03,0.97,0.7,1.05,1.0,0.92,6,0
18,proxy18,1.56,1.1,0.67,1.59,1.0,1.08,7,0
19,proxy19,0.66,1.07,1.33,0.67,1.0,0.62,4,0
20,proxy20,1.58,0.79,0.69,1.61,1.01,1.23,8,0
21,proxy21,1.79,0.76,0.84,1.83,1.01,1.54,10,0
22,proxy22,1.7,1.2,0.84,1.73,1.0,1.23,8,0
23,proxy23,1.95,1.32,0.69,1.99,1.02,2.0,13,0
24,proxy24,1.09,0.71,0.68,1.11,1.01,1.23,8,0
25,proxy25,1.15,0.91,1.3,1.18,1.0,0.77,5,0
26,proxy26,1.33,1.18,0.89,1.35,1.0,1.54,10,0
27,proxy27,0.81,0.86,0.83,0.83,1.01,1.38,9,0
28,proxy28,0.69,0.78,0.77,0.7,1.0,0.77,5,0
29,proxy29,29.49,0.8,7.04,2.07,7.75,4.92,12,0
30,proxy30,1.59,1.12,0.74,1.62,1.01,1.23,8,0
31,proxy31,1.17,0.67,1.3,1.2,1.01,1.08,7,0
32,proxy32,0.98,1.29,0.73,1.0,1.0,0.92,6,0
33,proxy33,1.36,1.06,0.99,1.38,1.01,1.54,10,0
34,proxy34,2.36,1.14,1.26,2.41,1.01,2.0,13,0
35,proxy35,1.46,0.95,0.71,1.49,1.01,1.69,11,0
36,proxy36,1.4,0.69,0.87,1.43,1.0,1.69,11,0
