id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,75.75.53.251,44,0.9603865637500133,6,1,1,87
2,232.80.181.63,11,0.7846078634759108,5,1,2,84
3,179.148.9.211,46,0.5749002394474054,8,4,5,40
4,54.236.166.229,23,0.10087094677623322,8,0,8,46
5,205.218.7.157,30,0.2634124249079295,7,4,8,91
6,122.133.25.18,16,0.7298695341412109,2,1,6,42
7,92.106.162.84,20,0.1495103220668787,1,4,6,37
8,113.57.68.193,5,0.4992016604331042,8,2,1,84
9,236.27.138.112,47,0.5866836711745621,9,1,6,71
10,160.224.149.18,9,0.8149794891078972,6,1,4,47
11,218.194.10.159,47,0.6872397046529739,14,8,5,95
12,20.83.37.155,3,0.7051574158589601,6,5,5,10
13,152.102.254.79,7,0.5913635446941157,4,4,8,18
14,76.115.77.53,2,0.4585036692457738,10,4,4,38
15,253.191.10.34,15,0.39837841500134874,4,5,4,58
16,116.199.157.110,5,0.5379081000467949,10,2,2,87
17,85.169.28.69,7,0.399760676873295,8,5,8,97
18,238.31.202.54,34,0.12660205445644776,1,2,3,51
19,26.227.18.44,36,0.3383002306568923,3,0,2,17
20,184.58.110.54,26,0.9414450977866652,2,1,4,72
21,248.52.21.19,47,0.6884531054731944,9,2,4,25
22,230.5.28.223,2,0.10228016771059606,10,2,4,69
23,65.195.125.91,42,0.3972258727758503,4,2,1,38
24,215.201.10.80,35,0.5913904588327916,5,0,6,41
25,12.160.201.228,40,0.42624210208923863,1,1,7,84
26,217.31.170.1,0,0.8593836263775756,8,8,4,95
27,254.83.103.7,0,0.6474687777181759,8,5,4,95
28,71.174.37.56,49,0.7421478290277216,10,3,7,41
29,150.65.215.160,13,0.37670571547916243,4,5,2,47
30,91.40.2.51,35,0.14191302726192404,3,0,1,45
31,172.45.28.199,16,0.25073614354153867,10,4,1,47
32,116.144.89.178,46,0.2886616889580488,7,4,8,7
33,237.38.110.220,26,0.9539305508347908,5,1,2,95
34,217.4.27.69,30,0.4679569593018926,1,2,6,38
35,197.198.193.17,20,0.3368626845218009,2,0,4,64
36,1.255.90.245,28,0.5004341235034334,5,0,8,95
37,148.161.164.144,12,0.5642061732264949,4,2,4,73
38,145.116.183.46,45,0.7403315883902163,7,5,7,26
39,38.220.96.151,18,0.2411019593613622,7,4,7,44
40,234.250.148.119,40,0.579329076498782,2,5,2,95
41,169.134.207.209,38,0.7139353133843267,1,4,2,29
42,204.165.22.22,34,0.6468900725117989,8,3,7,93
43,221.36.82.26,48,0.4206375538186464,2,1,4,97
44,69.100.93.189,43,0.7725376513945162,9,3,6,6
45,141.11.157.14,50,0.5987474030140482,6,1,5,62
46,65.13.94.10,43,0.9097735907977166,7,0,1,85
47,40.115.78.73,40,0.5761701303633268,6,2,2,15
48,162.173.126.111,11,0.6417672686419919,6,5,3,74
49,138.149.235.41,48,0.6026267133104704,2,0,2,71
50,118.223.244.186,13,0.8270563805911672,2,5,5,33
51,64.41.22.161,31,0.3226081414383849,8,3,6,8
52,152.71.64.39,43,0.5782029688947189,8,0,7,22
53,20.193.232.155,4,0.9710507245729627,2,2,2,59
54,195.125.18.155,31,0.2899023444632036,7,5,2,81
55,114.75.247.83,22,0.8327441491711196,8,2,4,70
56,104.195.74.28,15,0.7952050726786685,9,4,8,60
57,112.45.28.191,20,0.1629971626104743,1,3,5,11
58,114.35.200.43,41,0.2625678215248962,8,5,3,55
59,172.115.8.215,32,0.9720818172789021,7,4,6,75
60,72.248.83.113,37,0.44869803000680797,1,0,4,38
61,124.180.71.23,13,0.398640660881567,10,0,4,88
62,62.224.178.228,43,0.18330481457885917,1,5,4,14
63,223.15.130.163,38,0.9589615165690938,1,3,4,57
64,184.213.99.118,15,0.8843020329243346,1,5,1,88
65,207.240.47.38,10,0.11009348063110909,5,5,5,26
66,220.143.233.86,0,0.8634154335269129,7,1,5,48
67,142.153.74.161,36,0.7913880723322639,10,3,5,14
68,142.20.73.33,40,0.9953922353746186,4,5,6,54
69,94.249.148.192,30,0.472932372527172,2,2,7,77
70,131.137.167.11,36,0.49071470470266876,7,4,6,29
71,222.73.101.153,38,0.2895264203434279,8,5,2,79
72,70.145.244.229,16,0.44154604210690174,9,0,2,1
73,38.238.15.209,6,0.8998412942543452,8,5,4,43
74,229.25.110.30,32,0.8436431919118131,3,5,5,14
75,173.64.232.69,44,0.6479125502462102,5,0,2,95
76,148.203.241.167,2,0.9118363032763436,9,1,5,48
77,200.252.151.198,19,0.9768248231336072,1,0,6,40
78,244.100.199.47,30,0.6515562215789636,7,5,3,59
79,202.248.247.244,27,0.7558307019683987,7,2,4,98
80,107.102.204.210,21,0.3100830645247564,8,0,8,15
81,2.137.33.100,42,0.6507763757410335,7,3,1,73
82,246.175.141.136,0,0.5280173116478314,2,3,3,59
83,6.157.13.188,33,0.5530163564526278,7,1,1,18
84,34.188.144.62,41,0.16415914247913144,2,3,6,62
85,222.244.9.253,17,0.5834941468650177,6,2,6,19
86,198.200.119.68,39,0.779836662026091,2,4,1,48
87,154.37.252.251,46,0.23858993905732037,6,0,3,43
88,233.174.49.77,42,0.8000627580142252,1,1,7,89
89,36.104.62.114,38,0.313256699251955,9,0,1,1
90,117.150.109.108,24,0.1501717896279472,6,1,6,91
91,109.126.81.114,15,0.2929232418286434,5,1,8,62
92,163.119.18.67,29,0.3033576878001497,7,5,2,47
93,136.146.68.241,27,0.15990903266822212,4,1,3,9
94,193.81.71.150,27,0.9045166432486645,7,3,8,50
95,23.112.209.16,14,0.6738342114497834,3,0,3,45
96,220.219.166.32,9,0.4911775423498552,9,4,6,62
97,128.106.37.107,27,0.46710658124439264,10,1,5,35
98,12.250.183.169,40,0.6374149296501488,7,4,4,53
99,190.9.48.27,8,0.25324009233801836,7,4,6,43
100,191.239.224.201,19,0.21425253362732352,2,2,3,5
101,45.196.4.122,2,0.24510060761101346,7,1,1,69
102,219.205.50.52,37,0.3704237303970642,1,0,7,10
103,2.7.70.139,38,0.2624350690638443,4,0,2,52
104,110.101.201.77,41,0.283579558028712,5,1,6,35
105,133.177.208.150,21,0.12442824564180206,8,2,5,31
106,184.54.22.181,30,0.6906249342975473,10,5,3,78
107,176.27.58.58,27,0.1305857948495401,4,4,4,45
108,49.46.208.69,0,0.30702531845461367,7,3,1,26
109,146.87.201.80,38,0.6136916948485466,10,4,6,5
110,95.94.71.112,37,0.1882858636142996,5,0,8,12
111,160.219.200.75,3,0.16453253571073767,1,4,1,15
112,177.166.207.140,19,0.8167658540255955,5,5,7,84
113,155.23.165.223,9,0.21057096613479312,3,5,1,37
114,125.79.189.98,14,0.5675398887661008,3,5,7,14
115,192.125.90.241,31,0.6506478784845193,10,2,8,48
116,172.120.220.27,11,0.3146201290247257,9,3,5,85
117,156.126.90.149,6,0.7222097818736144,9,5,2,32
118,111.27.236.148,33,0.7776082979324489,4,3,1,95
119,55.49.73.15,14,0.9351783106009084,3,5,8,45
120,174.83.14.194,8,0.7098507691543413,7,0,2,40
121,82.69.117.140,14,0.6474006709146812,8,2,1,76
122,240.170.108.43,35,0.6094614662370643,7,1,8,91
123,3.118.234.228,39,0.4180209340690598,8,2,8,36
124,203.204.29.248,47,0.40957456150997607,9,1,1,25
125,30.152.168.179,47,0.8387242615891644,7,2,7,45
126,176.60.190.116,19,0.6052319397153025,1,4,5,95
127,206.48.151.190,21,0.6220400642078823,1,3,8,90
128,160.173.192.172,33,0.7479255378904006,5,0,7,70
129,52.44.236.123,19,0.16308704609152103,7,2,8,19
130,84.252.205.180,9,0.920568364587404,6,3,7,30
131,209.181.211.151,29,0.47069149225442386,7,2,1,92
