id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.31,1.33,0.88,1.31,1.04,1.39,25,0
2,proxy2,29.56,1.26,5.96,277.39,7.93,1.22,22,1
3,proxy3,15.3,0.7,3.72,137.48,4.53,1.28,23,1
4,proxy4,1.33,1.26,0.84,1.33,1.01,1.17,21,0
5,proxy5,0.96,1.23,1.26,0.96,1.0,1.0,18,0
6,proxy6,17.39,1.21,4.0,118.78,4.46,1.17,21,1
7,proxy7,1.16,0.78,1.0,1.16,1.0,0.94,17,0
8,proxy8,0.86,1.0,0.98,0.86,1.0,1.0,18,0
9,proxy9,1.0,0.83,1.09,1.0,0.99,1.0,18,0
10,proxy10,0.57,0.95,1.26,0.57,1.0,0.94,17,0
