id,normal,direct,slow,steal
129.197.112.171,1,0,0,0
227.112.85.219,1,0,0,0
133.72.253.49,1,0,0,0
79.215.12.176,1,0,0,0
107.229.254.109,1,0,0,0
5.230.61.161,1,0,0,0
244.106.81.233,1,0,0,0
122.50.106.250,1,0,0,0
233.35.174.123,1,0,0,0
143.22.128.109,1,0,0,0
240.189.32.124,1,0,0,0
24.133.7.249,1,0,0,0
46.2.232.54,1,0,0,0
32.133.113.154,1,0,0,0
74.221.82.192,1,0,0,0
85.148.144.234,1,0,0,0
179.99.52.239,1,0,0,0
26.27.79.80,1,0,0,0
3.102.54.159,1,0,0,0
177.227.25.128,1,0,0,0
160.173.82.145,1,0,0,0
97.73.87.136,1,0,0,0
212.168.161.195,1,0,0,0
233.223.90.89,1,0,0,0
255.89.157.7,1,0,0,0
116.73.160.251,1,0,0,0
59.231.106.100,1,0,0,0
200.163.213.221,1,0,0,0
24.52.137.88,1,0,0,0
188.245.13.179,1,0,0,0
126.169.43.150,1,0,0,0
197.79.24.235,1,0,0,0
55.233.43.246,1,0,0,0
54.206.112.104,1,0,0,0
47.2.36.133,1,0,0,0
252.136.239.164,1,0,0,0
83.95.37.50,1,0,0,0
150.22.145.39,1,0,0,0
213.135.51.161,1,0,0,0
92.16.74.82,1,0,0,0
250.224.25.80,1,0,0,0
101.131.66.67,1,0,0,0
58.53.139.209,1,0,0,0
193.194.99.238,1,0,0,0
117.96.137.244,1,0,0,0
124.221.216.45,1,0,0,0
219.56.66.199,0,0,0,1
87.86.74.21,1,0,0,0
136.148.113.124,1,0,0,0
82.105.157.91,1,0,0,0
31.158.77.217,1,0,0,0
190.71.29.56,1,0,0,0
147.191.71.183,1,0,0,0
195.14.201.247,1,0,0,0
173.8.90.43,1,0,0,0
35.13.151.160,1,0,0,0
111.206.118.92,1,0,0,0
115.215.7.58,1,0,0,0
5.66.130.21,1,0,0,0
227.178.113.13,1,0,0,0
20.150.116.141,1,0,0,0
85.211.208.198,1,0,0,0
154.162.101.229,1,0,0,0
106.81.146.181,1,0,0,0
142.163.203.82,1,0,0,0
208.55.127.186,1,0,0,0
3.168.229.152,1,0,0,0
90.31.43.8,1,0,0,0
200.10.140.118,1,0,0,0
115.12.124.100,1,0,0,0
65.184.133.2,1,0,0,0
162.56.123.218,1,0,0,0
38.8.137.203,1,0,0,0
217.227.152.118,1,0,0,0
8.212.176.163,1,0,0,0
22.202.169.225,1,0,0,0
242.175.176.161,1,0,0,0
123.246.32.84,1,0,0,0
198.201.90.27,1,0,0,0
137.191.198.127,1,0,0,0
70.251.221.59,1,0,0,0
188.238.102.247,1,0,0,0
247.52.120.161,1,0,0,0
168.242.98.38,1,0,0,0
78.48.248.208,1,0,0,0
133.207.169.122,1,0,0,0
37.25.238.20,1,0,0,0
184.161.9.41,1,0,0,0
206.96.185.147,1,0,0,0
