id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,240.16.98.80,48,0.10883697469333758,9,4,7,9
2,42.109.174.82,32,0.6978404212307511,5,3,6,13
3,112.66.150.109,39,0.9727717816371074,3,4,2,5
4,16.216.1.82,20,0.11178093058909322,7,3,8,5
5,229.226.170.58,0,0.254471644858119,3,4,1,3
6,181.53.1.136,20,0.9639227844884158,1,3,4,2
7,232.29.62.92,37,0.5582471556081706,7,4,4,10
8,103.239.53.158,9,0.43897214706171905,5,5,5,10
9,17.211.83.154,36,0.4407370892424539,9,0,1,9
10,162.75.40.192,42,0.6379479344140458,10,3,7,4
11,102.226.234.156,38,0.9355656858862256,1,1,6,12
12,140.240.240.208,22,0.2603031382497417,9,2,7,1
13,181.27.72.225,44,0.8861378645693946,8,0,1,5
14,200.121.127.201,30,0.4852664803068779,5,4,8,11
15,232.93.172.115,49,0.21805938293867422,9,3,6,6
16,194.239.76.217,38,0.9572212326641159,2,5,4,15
17,197.219.16.183,32,0.6426181478020696,4,3,8,11
18,212.132.209.124,1,0.39177015722251773,9,0,7,4
19,88.77.147.134,14,0.45314886260882703,1,2,6,2
20,107.252.129.130,21,0.4721620473959963,1,0,5,11
21,15.121.123.12,13,0.3081642012321278,3,1,5,1
22,150.231.9.57,44,0.3431798858546128,3,5,2,9
23,60.88.43.113,5,0.44216929342652966,3,0,1,10
24,30.84.239.203,34,0.8154426015079859,3,1,5,3
25,212.119.133.201,2,0.4267164023009199,4,3,4,1
26,13.78.197.241,44,0.18164300559339785,3,0,6,8
27,133.23.215.202,1,0.9453635520803289,8,1,3,8
28,200.188.18.169,1,0.8402441296626024,4,4,5,2
29,189.230.57.45,47,0.30398459388171073,8,3,6,1
30,57.231.133.29,25,0.38989526873387903,9,1,3,11
31,196.202.83.57,39,0.9010696108978111,9,5,4,9
32,71.159.31.206,28,0.9557363983004966,3,3,2,8
33,124.1.254.15,45,0.5127249014845153,3,0,6,10
34,151.208.173.56,14,0.32007222021622594,6,3,7,5
35,230.41.93.63,10,0.6308006995193621,10,1,1,10
36,118.47.38.245,4,0.4572292517048112,1,4,3,5
37,61.44.98.187,20,0.4453047899800884,7,0,3,15
38,47.82.38.199,19,0.12030678955282026,1,2,1,2
39,149.125.205.217,37,0.7698269099085979,10,2,3,11
40,77.228.194.71,23,0.3180911466569093,1,0,7,9
41,113.63.154.239,4,0.7625539614623568,3,4,2,8
42,29.159.141.43,10,0.9587896876276515,5,4,7,9
43,198.19.116.126,11,0.7249198855453121,8,4,2,7
44,17.79.248.119,2,0.7971166605264113,4,2,5,13
45,46.212.131.236,26,0.5794135533928134,8,5,8,1
46,79.123.52.23,43,0.6726961434000517,6,2,5,10
47,103.8.192.65,9,0.6694223806453252,9,3,3,8
48,141.115.242.222,13,0.3574442850683124,5,0,1,7
49,59.245.146.58,34,0.8983671028065491,1,4,6,13
50,202.26.245.36,40,0.8484963211661675,5,2,7,4
51,15.12.82.245,22,0.6146373204734762,9,5,4,15
52,107.122.11.76,45,0.6942426881739405,2,3,4,9
53,117.115.166.74,14,0.32834406000671373,4,1,3,8
54,7.231.204.26,29,0.1353949756584573,7,3,2,15
55,99.207.23.191,17,0.9185299347878222,2,5,4,13
56,157.26.101.161,43,0.4014552283200634,8,0,2,1
57,56.112.186.140,12,0.9513880179629276,10,2,7,11
58,69.156.97.94,17,0.4849013761528762,5,1,3,15
59,182.254.135.234,23,0.3383845746498178,7,3,2,15
60,162.79.86.226,49,0.12529192697751199,10,1,3,14
61,216.26.150.65,11,0.9441102109817319,2,4,7,6
62,86.252.74.243,50,0.8561884772338965,2,0,7,1
63,217.10.4.229,13,0.10840888199384419,7,1,1,15
64,87.154.245.42,33,0.9593267984802515,2,0,3,15
65,252.230.41.2,8,0.19195591578552132,8,0,4,11
66,59.90.242.144,0,0.7718616943865382,2,3,1,9
67,253.213.80.84,6,0.5252111461264204,3,2,6,8
68,207.242.174.111,39,0.9625376710048087,2,1,7,4
69,77.177.9.243,14,0.5394398837396014,8,5,1,2
70,182.151.17.87,5,0.5419128345847875,2,0,6,13
71,226.166.134.124,44,0.13104218745616342,8,4,1,5
72,244.224.194.247,21,0.944115692280264,3,3,5,2
73,188.86.42.69,44,0.2891703953517928,7,1,4,9
74,193.207.46.1,5,0.9782179093190977,5,2,2,13
75,137.206.168.105,48,0.42428640650776417,10,1,2,8
76,27.82.218.74,3,0.3565856037022327,4,1,5,11
77,73.180.111.171,26,0.9325421505506118,2,2,2,15
78,57.58.13.188,4,0.30569583863395744,10,4,5,8
79,4.167.137.105,34,0.9271135184361413,8,4,7,4
80,215.56.60.83,44,0.32259025917704565,8,3,2,12
81,130.79.186.22,12,0.9933265792895938,1,4,4,8
82,225.107.202.101,0,0.2984699894911538,2,3,5,2
83,158.11.229.50,25,0.6611377086668094,1,1,3,10
84,71.50.98.17,2,0.5443818931610112,8,1,2,7
85,19.8.156.100,37,0.6726009222541403,4,3,5,13
86,121.171.159.135,36,0.8451933594127585,8,5,3,9
87,179.190.49.229,48,0.8756443674699931,5,1,2,11
88,12.245.15.17,32,0.4756902687116652,8,4,1,8
89,204.50.159.238,0,0.8109201029177954,7,3,4,7
90,238.3.52.239,9,0.7762385011419806,1,5,2,15
91,81.212.255.120,25,0.6806611179146259,5,3,4,15
92,172.86.56.15,38,0.4660240373290305,6,1,4,10
93,222.90.112.45,6,0.34319182160358475,9,4,7,3
94,87.117.107.135,35,0.273002009591473,8,1,7,2
95,192.124.82.171,22,0.34524374148874715,1,2,2,7
96,2.10.209.181,46,0.4959868205116398,6,2,1,14
97,128.208.229.21,44,0.6608206991277693,9,3,7,15
98,230.138.105.59,25,0.28467377780258124,4,5,4,2
99,148.214.42.204,10,0.5526586584653349,7,2,8,5
100,76.16.61.29,21,0.758448418487258,3,5,8,6
101,254.245.155.148,46,0.28762224104130957,5,2,4,7
102,211.245.43.187,12,0.18354215601687057,10,0,1,13
103,41.153.130.42,39,0.794650263335862,1,1,4,11
104,41.112.155.97,39,0.20233337344090013,3,4,3,12
105,198.87.123.30,0,0.5013465056518783,9,1,6,12
