id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.16,1.17,0.74,1.16,1.01,1.25,10,0
2,proxy2,1.45,0.98,0.9,1.45,1.0,1.25,10,0
3,proxy3,1.35,1.32,1.2,1.35,1.0,1.12,9,0
4,proxy4,1.31,0.81,1.17,1.31,1.0,1.0,8,0
5,proxy5,1.28,1.18,0.75,1.28,0.99,1.12,9,0
6,proxy6,0.68,0.85,1.2,0.68,1.0,0.88,7,0
7,proxy7,1.1,0.8,0.91,1.1,1.02,1.12,9,0
8,proxy8,0.83,0.87,1.11,0.83,1.0,0.88,7,0
9,proxy9,0.75,1.0,1.21,0.75,0.99,0.5,4,0
10,proxy10,0.93,0.97,0.91,0.93,0.99,0.75,6,0
11,proxy11,1.56,1.07,0.92,1.56,1.01,1.12,9,0
12,proxy12,1.41,1.33,1.22,1.41,1.01,1.12,9,0
13,proxy13,0.44,1.26,1.08,0.44,0.99,0.62,5,0
14,proxy14,0.9,1.22,0.77,0.9,0.99,0.62,5,0
15,proxy15,1.59,0.83,1.2,1.59,0.99,1.12,9,0
16,proxy16,0.31,0.77,1.21,0.31,0.98,0.38,3,0
17,proxy17,1.39,0.77,1.1,1.39,1.0,1.5,12,0
18,proxy18,0.34,1.3,1.18,0.34,0.99,0.5,4,0
19,proxy19,0.73,1.15,0.73,0.73,0.99,0.88,7,0
20,proxy20,0.54,0.84,0.93,0.54,1.0,0.88,7,0
21,proxy21,0.37,1.0,0.68,0.37,0.99,0.62,5,0
22,proxy22,1.31,1.23,0.7,1.31,1.0,1.12,9,0
23,proxy23,1.13,1.27,0.98,1.13,0.99,1.12,9,0
24,proxy24,1.2,0.91,1.14,1.2,1.01,1.75,14,0
25,proxy25,0.84,0.86,0.81,0.84,1.01,1.0,8,0
26,proxy26,1.27,1.2,1.19,1.27,1.0,1.12,9,0
27,proxy27,0.33,1.33,0.91,0.33,0.98,0.25,2,0
28,proxy28,1.12,0.72,1.13,1.12,1.0,1.25,10,0
29,proxy29,0.97,0.84,0.93,0.97,1.0,0.75,6,0
30,proxy30,0.89,1.21,0.69,0.89,1.0,0.88,7,0
31,proxy31,1.23,1.29,0.89,1.23,1.0,1.12,9,0
32,proxy32,0.85,0.93,0.78,0.85,1.0,1.0,8,0
33,proxy33,2.49,0.85,0.97,2.49,1.02,1.75,14,0
34,proxy34,0.73,0.88,1.19,0.73,0.99,0.88,7,0
35,proxy35,1.2,0.76,0.99,1.2,1.0,1.38,11,0
36,proxy36,0.93,1.07,0.71,0.93,1.01,1.0,8,0
37,proxy37,1.2,1.05,1.02,1.2,1.0,0.88,7,0
38,proxy38,1.57,1.22,0.95,1.57,1.02,1.75,14,0
