id,normal,direct,slow,steal
154.199.170.101,1,0,0,0
56.226.242.253,1,0,0,0
84.187.82.22,1,0,0,0
247.101.179.212,1,0,0,0
223.189.169.228,1,0,0,0
95.66.108.78,1,0,0,0
142.130.146.163,1,0,0,0
124.62.102.117,1,0,0,0
156.29.169.104,1,0,0,0
13.248.229.35,1,0,0,0
94.195.28.207,1,0,0,0
94.232.13.38,1,0,0,0
255.227.187.194,1,0,0,0
114.92.193.191,1,0,0,0
13.225.49.36,1,0,0,0
144.208.160.231,1,0,0,0
76.234.169.105,1,0,0,0
211.191.36.87,1,0,0,0
20.33.101.42,1,0,0,0
222.195.214.37,1,0,0,0
37.220.188.235,1,0,0,0
10.119.70.94,1,0,0,0
77.79.202.117,1,0,0,0
56.176.227.57,1,0,0,0
65.113.134.150,1,0,0,0
161.21.182.97,1,0,0,0
215.161.200.217,1,0,0,0
98.4.141.142,1,0,0,0
239.37.149.40,1,0,0,0
192.207.253.246,1,0,0,0
30.176.40.254,1,0,0,0
132.71.219.179,1,0,0,0
71.195.155.118,1,0,0,0
203.161.113.97,1,0,0,0
78.73.99.62,1,0,0,0
162.149.198.172,1,0,0,0
52.164.121.219,1,0,0,0
241.194.29.230,1,0,0,0
127.211.199.224,1,0,0,0
228.239.214.189,1,0,0,0
157.191.149.79,1,0,0,0
128.80.137.203,1,0,0,0
91.140.229.112,1,0,0,0
19.117.216.155,1,0,0,0
163.1.47.212,1,0,0,0
131.128.42.123,1,0,0,0
13.173.208.243,1,0,0,0
113.123.87.202,1,0,0,0
156.63.2.37,1,0,0,0
65.13.85.202,1,0,0,0
83.101.170.89,1,0,0,0
22.158.14.84,1,0,0,0
223.231.31.131,1,0,0,0
17.196.102.176,1,0,0,0
181.46.231.204,1,0,0,0
13.69.126.110,1,0,0,0
98.110.152.22,1,0,0,0
134.231.207.78,1,0,0,0
249.170.232.168,1,0,0,0
252.182.50.137,1,0,0,0
34.224.44.37,1,0,0,0
171.11.119.62,1,0,0,0
70.154.38.226,1,0,0,0
215.49.92.59,1,0,0,0
61.43.194.104,1,0,0,0
89.119.242.225,1,0,0,0
220.201.85.186,1,0,0,0
185.42.137.10,1,0,0,0
119.187.212.199,1,0,0,0
246.135.90.67,1,0,0,0
199.127.58.30,1,0,0,0
241.149.156.80,1,0,0,0
159.19.103.89,1,0,0,0
141.220.143.12,1,0,0,0
246.35.111.96,1,0,0,0
215.221.22.69,1,0,0,0
15.195.124.60,1,0,0,0
108.80.237.213,1,0,0,0
79.50.237.83,1,0,0,0
108.197.65.8,1,0,0,0
36.1.122.4,1,0,0,0
231.1.247.5,1,0,0,0
239.170.111.6,1,0,0,0
187.56.164.206,1,0,0,0
139.207.120.69,1,0,0,0
251.126.49.80,1,0,0,0
194.162.232.133,1,0,0,0
246.190.133.243,1,0,0,0
130.192.214.81,1,0,0,0
248.21.227.113,1,0,0,0
103.127.80.165,1,0,0,0
224.146.3.105,1,0,0,0
217.60.36.197,1,0,0,0
25.123.134.158,1,0,0,0
28.244.145.39,1,0,0,0
97.28.7.223,1,0,0,0
255.111.59.57,1,0,0,0
135.244.179.83,1,0,0,0
119.176.182.104,1,0,0,0
