id,userIP,requestCount,avg_latency,requestPerMinute,connsCount,credit,belong
1,191.2.62.158,47,0.42087668909020637,1,1,6,47
2,170.75.176.194,19,0.20977996161277956,6,2,5,8
3,193.177.174.165,5,0.3514152141012179,5,5,1,8
4,50.249.20.206,14,0.4468677664656854,3,1,2,15
5,185.205.152.55,28,0.3807965309401864,3,4,5,8
6,165.204.185.60,6,0.6830705157117598,10,4,2,33
7,152.241.236.73,18,0.28738690634509517,9,3,1,36
8,133.223.207.89,11,0.12008377453218927,6,4,7,77
9,100.157.87.155,48,0.8714164793913461,5,2,8,20
10,95.117.47.186,42,0.27469528213212824,2,0,7,54
11,24.74.125.228,20,0.6039669122834692,1,4,2,35
12,29.177.115.72,22,0.14734915189732006,3,4,7,61
13,131.112.184.167,5,0.6394944429573525,1,0,1,68
14,79.149.31.121,0,0.49664223035951527,10,5,5,51
15,243.189.43.46,37,0.9719761670446889,3,3,1,98
16,235.172.111.230,40,0.980537197080763,1,4,6,80
17,192.125.167.196,19,0.28845541427535115,5,2,7,56
18,143.195.16.10,18,0.161960711148535,4,4,8,55
19,43.74.33.133,45,0.1742634453782251,2,2,6,54
20,5.5.219.65,1,0.8214756352302653,3,5,2,18
21,39.179.203.238,33,0.7612881778039482,5,4,8,47
22,103.222.46.170,34,0.7165202888892588,1,5,3,95
23,43.162.193.126,40,0.4257199285944844,9,0,3,24
24,155.122.43.245,39,0.6095668041318963,6,2,6,39
25,105.54.190.180,12,0.7220955712876431,1,0,7,60
26,66.51.239.72,32,0.2690349432297757,8,2,5,77
27,25.54.57.21,30,0.258943616083524,9,3,6,67
28,132.48.148.140,11,0.7725242372515547,3,2,5,58
29,229.88.222.30,33,0.42754906566370277,6,1,2,56
30,118.95.229.169,15,0.8517738255318564,3,0,7,52
31,68.143.21.27,47,0.8000700077678159,4,1,3,27
32,179.46.187.109,4,0.19693710318642307,1,3,3,13
33,189.145.175.100,16,0.7908491443133131,7,0,3,3
34,158.46.20.150,16,0.8213662761170321,6,0,4,27
35,105.19.128.224,3,0.9406506872531696,7,3,6,32
36,57.246.238.43,19,0.823324182062362,1,0,6,43
37,14.25.84.69,21,0.6770319610719515,5,5,7,75
38,63.88.232.53,3,0.7234465221113018,8,3,1,38
39,227.115.185.226,35,0.5578422611162517,5,5,1,28
40,60.15.91.113,45,0.24064709955690497,7,0,2,96
41,242.22.14.122,35,0.9976439055953757,3,2,8,18
42,232.171.133.224,18,0.39377475796312245,5,2,3,38
43,38.204.57.149,13,0.7819533185490469,9,5,6,70
44,91.36.228.251,14,0.7579548625735792,7,0,5,58
45,42.114.77.40,19,0.9205943019104889,8,0,1,36
46,212.209.220.86,10,0.9686699619840773,4,2,5,73
47,179.218.229.246,46,0.11504218390901175,10,1,8,44
48,174.122.60.15,11,0.5831434603018534,8,2,4,11
49,85.248.181.87,33,0.5421434103824706,6,0,8,27
50,9.47.23.150,30,0.5054957964139962,9,3,4,77
