Starting training...
Epoch 1/100, Train Loss: 1.0168, Validation Loss: 0.6669, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 2/100, Train Loss: 0.4197, Validation Loss: 0.2284, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 3/100, Train Loss: 0.1367, Validation Loss: 0.0985, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 4/100, Train Loss: 0.0822, Validation Loss: 0.0919, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 5/100, Train Loss: 0.0808, Validation Loss: 0.0924, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 6/100, Train Loss: 0.0797, Validation Loss: 0.0903, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 7/100, Train Loss: 0.0767, Validation Loss: 0.0872, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 8/100, Train Loss: 0.0746, Validation Loss: 0.0847, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 9/100, Train Loss: 0.0724, Validation Loss: 0.0838, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 10/100, Train Loss: 0.0718, Validation Loss: 0.0836, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 11/100, Train Loss: 0.0712, Validation Loss: 0.0833, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 12/100, Train Loss: 0.0706, Validation Loss: 0.0829, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 13/100, Train Loss: 0.0703, Validation Loss: 0.0830, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 14/100, Train Loss: 0.0700, Validation Loss: 0.0828, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 15/100, Train Loss: 0.0696, Validation Loss: 0.0831, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 16/100, Train Loss: 0.0691, Validation Loss: 0.0828, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 17/100, Train Loss: 0.0687, Validation Loss: 0.0824, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 18/100, Train Loss: 0.0688, Validation Loss: 0.0822, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 19/100, Train Loss: 0.0684, Validation Loss: 0.0830, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 20/100, Train Loss: 0.0680, Validation Loss: 0.0830, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 21/100, Train Loss: 0.0676, Validation Loss: 0.0827, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 22/100, Train Loss: 0.0674, Validation Loss: 0.0826, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 23/100, Train Loss: 0.0671, Validation Loss: 0.0822, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 24/100, Train Loss: 0.0670, Validation Loss: 0.0822, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 25/100, Train Loss: 0.0670, Validation Loss: 0.0816, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 26/100, Train Loss: 0.0668, Validation Loss: 0.0832, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 27/100, Train Loss: 0.0667, Validation Loss: 0.0825, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 28/100, Train Loss: 0.0662, Validation Loss: 0.0825, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
Epoch 29/100, Train Loss: 0.0659, Validation Loss: 0.0824, Train Accuracy: 0.9873, Validation Accuracy: 0.9900
